pVal,phase,peak.shape,period,names
0.03330528625766479,20,16,24,CREG1_ctrl
0.0031069058296160266,8,8,24,OVOL3_ctrl
0.014623824892913143,24,12,24,BOLA2_ctrl
0.03826569660022245,12,16,24,ECM2_ctrl
0.00388406284395776,16,16,24,TIMP3_ctrl
0.00504680994997985,4,8,24,TF_ctrl
0.027121745998865004,8,12,24,RNF145_ctrl
0.01919217739637357,4,12,24,WDR96_ctrl
0.020659534792423204,12,8,24,FRRS1L_ctrl
0.02544240366403141,16,16,24,PPP3CC_ctrl
0.04224409640074614,16,12,24,PSMF1_ctrl
0.045507762703656016,20,12,24,ALPK2_ctrl
0.038849044050081064,8,12,24,GSDMA_ctrl
0.03710057372144589,20,8,24,PPM1L_ctrl
0.0013855366813220983,24,4,24,CYR61_ctrl
0.014662159996295691,24,8,24,AMZ1_ctrl
0.03455163899192697,16,20,24,TNFRSF12A_ctrl
0.008868333638209852,12,4,24,SPATA7_ctrl
0.048436550655069056,20,12,24,UNC13A_ctrl
0.02753559088061358,4,16,24,SRCAP_ctrl
6.463458148856102e-4,20,12,24,PEX26_ctrl
0.04605747558467826,4,20,24,MAST2_ctrl
0.0160023768218288,4,4,24,NPHS1_ctrl
0.00139391802902289,4,8,24,MSL2_ctrl
0.008146093862870069,12,8,24,TTLL11_ctrl
0.048627123928909236,8,16,24,IRS1_ctrl
6.038850230624919e-4,16,16,24,TACC3_ctrl
0.041200552262565214,8,12,24,C3orf58_ctrl
0.008865116872235231,4,12,24,DSPP_ctrl
0.018492072004377393,4,8,24,RNF139_ctrl
0.008105971255275894,4,8,24,FBXW8_ctrl
0.012162364998035868,4,12,24,NR2F1_ctrl
0.019941603449462674,24,12,24,FAM124B_ctrl
0.010032189398720907,16,20,24,N6AMT2_ctrl
2.966302866881199e-4,16,12,24,ANGPTL4_ctrl
0.01220270307958109,16,12,24,PNLIPRP1_ctrl
0.011915699536444276,4,12,24,NEIL2_ctrl
0.014105576599517621,16,16,24,NDRG2_ctrl
0.0018473722771395469,8,16,24,ADGRF4_ctrl
0.02200213354205528,20,12,24,TNPO1_ctrl
1.202731984076114e-4,8,12,24,LINC00304_ctrl
0.013964732336348689,8,4,24,TEFM_ctrl
0.018311549074252077,8,12,24,ELP5_ctrl
0.009420528627458496,20,8,24,PARP12_ctrl
0.04812160561627814,12,16,24,CLCN3_ctrl
0.037562036909748665,8,8,24,RUFY3_ctrl
0.011052039870085734,16,12,24,EIF3E_ctrl
0.019494631217104222,20,12,24,SYCN_ctrl
0.007216921154276799,12,8,24,HNRNPUL2_ctrl
0.018031555221637866,4,12,24,IQSEC3_ctrl
0.04637037824405374,24,8,24,RPS20_ctrl
0.04928477913420383,8,16,24,PYCR1_ctrl
0.004548087728103055,12,12,24,FUBP3_ctrl
0.0028896083856183937,20,12,24,ITGB6_ctrl
1.3897659219412904e-4,8,16,24,NOMO2_ctrl
0.014083588239700852,16,12,24,CHST11_ctrl
0.046110659944614545,8,16,24,RAB8B_ctrl
0.044778899809700096,16,12,24,RBM14_ctrl
0.017346038429710546,8,12,24,HYOU1_ctrl
0.023676864402207096,12,4,24,ZNF250_ctrl
0.005825252929520266,20,12,24,KRT9_ctrl
0.030969997620759707,4,8,24,BDP1_ctrl
0.027081587550483222,12,8,24,TBCD_ctrl
0.022723810831506333,20,12,24,TRIP10_ctrl
0.013554559461982866,16,12,24,DMRTA2_ctrl
0.010255052082834787,16,16,24,BNIP3_ctrl
0.0014443572866415714,16,12,24,ID3_ctrl
0.011629564176381722,8,4,24,LMLN_ctrl
0.02962164534487188,12,12,24,GMPR2_ctrl
0.04465973534971645,16,16,24,PRTG_ctrl
0.0013905349642198556,24,12,24,NOXA1_ctrl
0.02660902032100673,20,16,24,PHYKPL_ctrl
0.018562052251868275,8,16,24,COX8A_ctrl
0.04451440287990008,12,16,24,METTL6_ctrl
6.398052698541524e-4,4,12,24,WNT5B_ctrl
0.025545776123979385,24,12,24,TRIM15_ctrl
0.006763253698347913,12,12,24,MYO1B_ctrl
0.03653352741357352,12,16,24,LRRC57_ctrl
0.04127298694767401,4,8,24,KMT2C_ctrl
0.020417623439345663,4,16,24,SGCG_ctrl
0.011258353499854271,16,16,24,PPP1R9B_ctrl
0.0017981773543954407,8,16,24,UNKL_ctrl
0.04066537136793465,20,8,24,ZNF318_ctrl
0.012755788567732285,4,8,24,NO_GENE__uid5875839_ctrl
0.03692648872358952,24,8,24,ABCA3_ctrl
0.015029092711220425,4,8,24,ITIH1_ctrl
0.047652427061182855,12,16,24,CTSB_ctrl
0.031347072889680604,8,12,24,ACAD9_ctrl
0.027839022888879954,4,16,24,SLC4A5_ctrl
0.028807102981807955,4,8,24,MUC19_ctrl
0.017499385911685563,20,8,24,MTMR7_ctrl
0.01359952865742112,16,12,24,PTK2B_ctrl
0.018952254040779996,24,8,24,PNO1_ctrl
0.0014443572866415714,8,8,24,MACROH2A1_ctrl
0.03917681592859864,4,20,24,ANKDD1A_ctrl
0.01408136546691538,16,16,24,B4GALT4_ctrl
0.029367964198767364,20,8,24,HES2_ctrl
0.025103241500121578,12,16,24,TXNDC9_ctrl
0.003309188106842305,4,12,24,PSMG3_ctrl
0.04885236905957236,12,16,24,ZBTB40_ctrl
0.0023235054384953017,8,8,24,PFKFB4_ctrl
0.026904601949005933,24,16,24,PPL_ctrl
0.028436779531077004,16,12,24,ATP6AP1_ctrl
0.004071632530757569,24,12,24,KRT39_ctrl
0.03316957343224989,16,12,24,MCC_ctrl
0.01854367446337263,20,12,24,TGFB1I1_ctrl
0.022160715399360806,20,16,24,FAM71D_ctrl
0.03228849268626032,12,16,24,DDX23_ctrl
0.004896143060417706,4,12,24,PEX6_ctrl
4.3255934342346935e-4,8,16,24,ATP5ME_ctrl
0.04803518334381382,16,12,24,GCC1_ctrl
0.0021653093338290736,12,16,24,EIF2A_ctrl
0.012459566411824503,20,20,24,GRIA1_ctrl
0.008149881943996757,20,8,24,SYN1_ctrl
0.04234527687296417,24,16,24,PLEKHG2_ctrl
0.022552878607115003,8,16,24,ATP5PB_ctrl
0.026904495307354705,24,12,24,UCK2_ctrl
0.03731577011128113,16,20,24,TSPAN4_ctrl
0.019608019651382647,24,4,24,GPRC5B_ctrl
0.017296502582612484,24,8,24,PIGQ_ctrl
0.02804927819159777,4,12,24,TMPRSS6_ctrl
0.018412160200542992,12,12,24,SHPK_ctrl
0.006189142327248011,8,12,24,KRT23_ctrl
0.04475658745026805,12,8,24,RAD51_ctrl
0.0490362082003459,4,12,24,TRIM41_ctrl
0.0058500049245953124,16,8,24,DNAH9_ctrl
0.021323554823780476,12,16,24,TRIM39_ctrl
0.043609273683509975,8,12,24,MTMR3_ctrl
9.293647981180129e-4,16,12,24,GCNT1_ctrl
0.006293427972609942,4,12,24,AVP_ctrl
0.0395525301720626,8,12,24,ARF5_ctrl
0.04218579080941472,4,16,24,ATG4B_ctrl
0.00946013432521285,12,16,24,BRD4_ctrl
0.005872004087984737,12,16,24,CHSY1_ctrl
0.015447910542540437,8,16,24,CKAP4_ctrl
0.01285897708584293,8,4,24,POLL_ctrl
0.014035986789659493,4,4,24,KIAA1211_ctrl
0.011583421434412607,4,8,24,SDSL_ctrl
0.001812144254863628,8,12,24,SDR39U1_ctrl
8.563773628747594e-4,12,12,24,EIF4EBP1_ctrl
0.044361639294126794,24,8,24,AKR1C8P_ctrl
0.02437304148818857,8,8,24,CDC14A_ctrl
