qval,nb_prots_ctrl,nb_prots_nlrp3,nb_prots_both
0.0,0,0,0
0.001,0,1,0
0.002,2,3,0
0.003,4,4,0
0.004,4,6,0
0.005,5,6,0
0.006,5,6,0
0.007,5,7,0
0.008,6,7,0
0.009000000000000001,6,10,0
0.01,7,11,0
0.011,7,11,0
0.012,8,11,0
0.013000000000000001,9,14,0
0.014,10,17,0
0.015,10,19,1
0.016,10,19,1
0.017,13,19,1
0.018000000000000002,14,19,1
0.019,16,21,2
0.02,18,21,2
0.021,19,21,2
0.022,20,22,2
0.023,21,23,2
0.024,22,23,2
0.025,23,23,2
0.026000000000000002,24,26,2
0.027,25,26,2
0.028,26,28,2
0.029,28,29,2
0.03,29,29,2
0.031,31,32,2
0.032,33,32,2
0.033,33,33,2
0.034,36,33,2
0.035,37,34,2
0.036000000000000004,37,36,2
0.037,41,38,2
0.038,42,38,2
0.039,46,38,3
0.04,47,38,3
0.041,47,38,3
0.042,50,39,3
0.043000000000000003,51,39,3
0.044,52,41,3
0.045,52,41,3
0.046,55,42,3
0.047,56,43,3
0.048,60,46,3
0.049,62,46,3
0.05,65,47,3
0.051000000000000004,65,47,3
0.052000000000000005,65,47,3
0.053,65,47,3
0.054,65,47,3
0.055,65,47,3
0.056,65,47,3
0.057,65,47,3
0.058,65,47,3
0.059000000000000004,65,47,3
