pval,nb_prots_ctrl,nb_prots_nlrp3,nb_prots_both
0.0,0,0,0
0.001,2,1,0
0.002,14,10,0
0.003,17,13,0
0.004,21,20,1
0.005,27,25,1
0.006,31,28,1
0.007,32,31,1
0.008,37,35,1
0.009000000000000001,42,39,1
0.01,53,42,2
0.011,56,44,2
0.012,61,54,2
0.013000000000000001,69,57,3
0.014,79,58,3
0.015,88,67,4
0.016,92,74,4
0.017,99,81,4
0.018000000000000002,103,84,4
0.019,108,93,5
0.02,114,102,7
0.021,118,104,7
0.022,124,109,8
0.023,134,115,8
0.024,138,121,8
0.025,154,126,8
0.026000000000000002,159,130,8
0.027,164,141,11
0.028,170,145,11
0.029,179,149,11
0.03,183,154,12
0.031,190,162,12
0.032,199,170,14
0.033,205,174,15
0.034,210,177,16
0.035,220,189,18
0.036000000000000004,227,199,19
0.037,231,205,19
0.038,239,208,20
0.039,251,218,21
0.04,256,222,21
0.041,262,227,22
0.042,266,236,22
0.043000000000000003,272,238,22
0.044,281,248,22
0.045,287,256,22
0.046,295,264,23
0.047,302,273,24
0.048,307,275,25
0.049,313,279,27
0.05,326,285,28
0.051000000000000004,326,285,28
0.052000000000000005,326,285,28
0.053,326,285,28
0.054,326,285,28
0.055,326,285,28
0.056,326,285,28
0.057,326,285,28
0.058,326,285,28
0.059000000000000004,326,285,28
