Period,nb_prots_ctrl,nb_prots_nlrp3
10,184,190
11,201,234
12,323,267
13,307,244
14,261,218
15,237,189
16,237,212
17,290,258
18,326,285
19,327,270
20,311,231
21,309,218
22,289,213
23,260,228
24,255,224
25,272,246
26,291,277
27,337,312
28,399,391
