pval,nb_prots_ctrl,nb_prots_nlrp3,nb_prots_both
0.0,0,0,0
0.001,4,1,0
0.002,8,6,0
0.003,9,10,0
0.004,17,14,0
0.005,21,19,0
0.006,25,24,1
0.007,30,28,1
0.008,36,31,1
0.009000000000000001,40,32,1
0.01,46,34,1
0.011,55,38,1
0.012,59,44,1
0.013000000000000001,62,46,1
0.014,66,48,1
0.015,72,52,1
0.016,81,58,2
0.017,86,63,2
0.018000000000000002,93,70,2
0.019,95,76,2
0.02,101,82,3
0.021,107,90,4
0.022,110,96,4
0.023,121,102,4
0.024,126,107,4
0.025,131,110,4
0.026000000000000002,137,117,4
0.027,144,122,4
0.028,149,125,5
0.029,157,128,5
0.03,165,136,6
0.031,171,142,7
0.032,174,145,8
0.033,179,154,8
0.034,185,160,8
0.035,190,167,8
0.036000000000000004,197,171,8
0.037,203,175,8
0.038,208,185,9
0.039,214,188,10
0.04,222,196,10
0.041,227,201,10
0.042,237,210,12
0.043000000000000003,243,217,12
0.044,248,221,12
0.045,258,227,12
0.046,265,231,14
0.047,271,237,15
0.048,277,242,16
0.049,283,249,18
0.05,290,258,20
0.051000000000000004,290,258,20
0.052000000000000005,290,258,20
0.053,290,258,20
0.054,290,258,20
0.055,290,258,20
0.056,290,258,20
0.057,290,258,20
0.058,290,258,20
0.059000000000000004,290,258,20
