qval,nb_prots_ctrl,nb_prots_nlrp3,nb_prots_both
0.0,0,0,0
0.001,1,1,0
0.002,3,4,0
0.003,4,4,0
0.004,6,4,0
0.005,6,5,0
0.006,7,8,0
0.007,9,9,0
0.008,10,10,0
0.009000000000000001,10,10,0
0.01,11,12,0
0.011,12,13,0
0.012,14,14,0
0.013000000000000001,16,15,1
0.014,17,16,2
0.015,17,17,3
0.016,19,18,3
0.017,20,18,3
0.018000000000000002,20,19,3
0.019,23,19,3
0.02,26,20,3
0.021,28,22,3
0.022,30,22,3
0.023,30,23,3
0.024,32,24,3
0.025,35,25,3
0.026000000000000002,37,26,3
0.027,37,26,3
0.028,37,30,4
0.029,40,30,4
0.03,43,31,4
0.031,46,32,4
0.032,50,33,4
0.033,51,36,4
0.034,52,37,4
0.035,53,38,4
0.036000000000000004,54,40,4
0.037,55,43,4
0.038,57,44,4
0.039,59,45,4
0.04,62,45,4
0.041,65,46,4
0.042,67,46,4
0.043000000000000003,69,47,5
0.044,71,47,5
0.045,73,47,5
0.046,76,48,5
0.047,78,50,6
0.048,81,51,6
0.049,83,52,6
0.05,85,53,6
0.051000000000000004,85,53,6
0.052000000000000005,85,53,6
0.053,85,53,6
0.054,85,53,6
0.055,85,53,6
0.056,85,53,6
0.057,85,53,6
0.058,85,53,6
0.059000000000000004,85,53,6
