qval,nb_prots_ctrl,nb_prots_nlrp3,nb_prots_both
0.0,0,0,0
0.001,0,0,0
0.002,2,3,0
0.003,4,4,0
0.004,4,6,0
0.005,4,6,0
0.006,5,7,0
0.007,5,7,0
0.008,7,7,0
0.009000000000000001,7,8,0
0.01,8,9,0
0.011,8,9,0
0.012,9,9,0
0.013000000000000001,10,12,0
0.014,11,13,0
0.015,12,16,1
0.016,12,16,1
0.017,15,17,1
0.018000000000000002,15,18,1
0.019,16,20,2
0.02,19,20,2
0.021,20,21,2
0.022,20,21,2
0.023,21,23,2
0.024,21,23,2
0.025,22,23,2
0.026000000000000002,24,25,2
0.027,25,25,2
0.028,25,27,2
0.029,28,27,2
0.03,31,27,2
0.031,33,30,2
0.032,34,32,2
0.033,35,32,2
0.034,37,33,2
0.035,38,34,2
0.036000000000000004,38,36,2
0.037,39,36,2
0.038,40,37,3
0.039,43,37,4
0.04,44,37,4
0.041,46,37,4
0.042,46,38,4
0.043000000000000003,47,38,4
0.044,49,39,4
0.045,51,39,4
0.046,53,39,4
0.047,53,40,4
0.048,56,41,4
0.049,60,41,4
0.05,63,41,4
0.051000000000000004,63,41,4
0.052000000000000005,63,41,4
0.053,63,41,4
0.054,63,41,4
0.055,63,41,4
0.056,63,41,4
0.057,63,41,4
0.058,63,41,4
0.059000000000000004,63,41,4
