pval,nb_prots_ctrl,nb_prots_nlrp3,nb_prots_both
0.0,0,0,0
0.001,31,26,6
0.002,50,56,12
0.003,66,67,15
0.004,84,79,19
0.005,104,100,24
0.006,127,112,27
0.007,138,132,30
0.008,149,145,33
0.009000000000000001,157,156,38
0.01,178,166,43
0.011,188,171,44
0.012,200,183,44
0.013000000000000001,213,199,52
0.014,224,218,56
0.015,237,229,60
0.016,258,247,64
0.017,268,257,67
0.018000000000000002,275,265,70
0.019,289,284,73
0.02,302,298,73
0.021,316,314,75
0.022,329,324,77
0.023,342,340,82
0.024,351,349,85
0.025,364,354,88
0.026000000000000002,371,367,92
0.027,380,377,95
0.028,399,387,102
0.029,407,396,105
0.03,420,409,106
0.031,433,420,111
0.032,447,430,111
0.033,463,444,115
0.034,481,457,118
0.035,498,463,121
0.036000000000000004,510,475,122
0.037,518,483,123
0.038,533,493,126
0.039,545,506,130
0.04,557,521,136
0.041,570,542,142
0.042,576,554,143
0.043000000000000003,583,564,146
0.044,589,572,146
0.045,601,581,151
0.046,609,593,155
0.047,624,614,162
0.048,635,625,163
0.049,646,637,167
