pval,nb_prots_ctrl,nb_prots_nlrp3,nb_prots_both
0.0,0,0,0
0.001,5,4,0
0.002,12,7,0
0.003,21,12,0
0.004,25,15,0
0.005,32,18,0
0.006,38,23,0
0.007,44,25,0
0.008,55,30,1
0.009000000000000001,60,35,1
0.01,68,42,1
0.011,78,46,1
0.012,82,53,1
0.013000000000000001,88,59,2
0.014,94,66,3
0.015,102,72,5
0.016,108,79,6
0.017,119,87,8
0.018000000000000002,127,97,9
0.019,130,106,10
0.02,134,111,10
0.021,139,119,11
0.022,142,127,14
0.023,149,132,16
0.024,157,136,17
0.025,165,139,19
0.026000000000000002,174,141,19
0.027,182,145,21
0.028,186,148,22
0.029,192,153,24
0.03,196,159,25
0.031,203,164,26
0.032,207,168,27
0.033,210,174,27
0.034,219,181,28
0.035,224,187,29
0.036000000000000004,231,191,30
0.037,239,198,32
0.038,246,201,34
0.039,252,204,36
0.04,257,207,36
0.041,265,212,36
0.042,268,220,36
0.043000000000000003,272,222,37
0.044,281,228,38
0.045,288,233,39
0.046,297,237,40
0.047,303,243,40
0.048,309,248,40
0.049,317,256,42
0.05,323,267,44
0.051000000000000004,323,267,44
0.052000000000000005,323,267,44
0.053,323,267,44
0.054,323,267,44
0.055,323,267,44
0.056,323,267,44
0.057,323,267,44
0.058,323,267,44
0.059000000000000004,323,267,44
