Period,nb_prots_ctrl,nb_prots_nlrp3
10,8,9
11,12,16
12,34,20
13,39,21
14,33,17
15,29,18
16,32,22
17,45,37
18,49,39
19,61,40
20,61,45
21,63,41
22,65,47
23,73,48
24,82,50
25,85,53
26,80,53
27,76,55
28,73,55
