pval,nb_prots_ctrl,nb_prots_nlrp3,nb_prots_both
0.0,0,0,0
0.001,5,5,0
0.002,9,11,0
0.003,10,13,0
0.004,14,14,0
0.005,20,19,0
0.006,28,24,2
0.007,36,28,3
0.008,42,30,4
0.009000000000000001,47,36,5
0.01,56,40,6
0.011,62,44,6
0.012,69,50,7
0.013000000000000001,78,53,7
0.014,83,58,7
0.015,86,64,8
0.016,89,68,8
0.017,94,73,8
0.018000000000000002,104,78,8
0.019,109,85,8
0.02,118,89,8
0.021,122,94,9
0.022,126,97,9
0.023,131,97,9
0.024,138,100,9
0.025,144,106,9
0.026000000000000002,147,113,10
0.027,156,118,11
0.028,161,122,12
0.029,166,127,12
0.03,172,131,13
0.031,174,137,13
0.032,181,140,13
0.033,183,147,13
0.034,187,152,15
0.035,190,156,15
0.036000000000000004,192,161,15
0.037,198,168,15
0.038,203,176,17
0.039,213,179,17
0.04,218,184,18
0.041,225,187,18
0.042,229,190,18
0.043000000000000003,234,193,18
0.044,238,197,18
0.045,242,200,19
0.046,243,205,19
0.047,244,209,19
0.048,250,216,23
0.049,255,219,23
0.05,260,228,24
0.051000000000000004,260,228,24
0.052000000000000005,260,228,24
0.053,260,228,24
0.054,260,228,24
0.055,260,228,24
0.056,260,228,24
0.057,260,228,24
0.058,260,228,24
0.059000000000000004,260,228,24
