pval,nb_prots_ctrl,nb_prots_nlrp3,nb_prots_both
0.0,0,0,0
0.001,1,1,0
0.002,1,2,0
0.003,1,3,0
0.004,1,4,0
0.005,4,4,0
0.006,6,4,0
0.007,7,5,0
0.008,10,5,0
0.009000000000000001,13,5,0
0.01,13,5,0
0.011,14,5,0
0.012,15,5,0
0.013000000000000001,15,5,0
0.014,16,7,0
0.015,17,7,0
0.016,17,7,0
0.017,18,7,0
0.018000000000000002,18,7,0
0.019,20,7,0
0.02,20,8,0
0.021,20,9,0
0.022,21,9,0
0.023,21,9,0
0.024,22,11,0
0.025,23,11,0
0.026000000000000002,23,11,0
0.027,24,11,0
0.028,24,12,0
0.029,24,12,0
0.03,24,12,0
0.031,26,12,0
0.032,26,12,0
0.033,26,12,0
0.034,26,12,0
0.035,26,12,0
0.036000000000000004,26,12,0
0.037,27,12,0
0.038,29,12,0
0.039,29,12,0
0.04,29,12,0
0.041,30,12,0
0.042,30,13,0
0.043000000000000003,30,14,0
0.044,31,14,0
0.045,32,14,0
0.046,32,14,0
0.047,32,14,0
0.048,33,15,0
0.049,33,15,0
0.05,33,15,0
0.051000000000000004,33,16,0
0.052000000000000005,33,16,0
0.053,33,16,0
0.054,33,16,0
0.055,33,16,0
0.056,33,16,0
0.057,33,16,0
0.058,34,17,0
0.059000000000000004,34,17,0
0.06,35,17,0
0.061,35,17,0
0.062,35,17,0
0.063,35,18,0
0.064,36,18,0
0.065,36,18,0
0.066,36,18,0
0.067,36,18,0
0.068,36,18,0
0.069,36,18,0
0.07,36,18,0
0.07100000000000001,36,18,0
0.07200000000000001,36,18,0
0.073,36,18,0
0.074,36,18,0
0.075,36,18,0
0.076,36,18,0
0.077,36,18,0
0.078,36,18,0
0.079,36,18,0
0.08,36,18,0
0.081,36,18,0
0.082,36,18,0
0.083,36,18,0
0.084,36,18,0
0.085,36,18,0
0.08600000000000001,36,18,0
0.08700000000000001,36,18,0
0.088,36,18,0
0.089,36,18,0
0.09,36,18,0
0.091,36,18,0
0.092,36,18,0
0.093,36,18,0
0.094,36,18,0
0.095,36,18,0
0.096,36,18,0
0.097,36,18,0
0.098,36,18,0
0.099,36,18,0
