qval,nb_prots_ctrl,nb_prots_nlrp3,nb_prots_both
0.0,0,0,0
0.001,0,0,0
0.002,0,1,0
0.003,0,2,0
0.004,0,2,0
0.005,1,3,0
0.006,1,3,0
0.007,1,3,0
0.008,1,3,0
0.009000000000000001,1,3,0
0.01,1,4,0
0.011,1,4,0
0.012,1,4,0
0.013000000000000001,1,4,0
0.014,1,4,0
0.015,1,4,0
0.016,1,4,0
0.017,1,4,0
0.018000000000000002,1,5,0
0.019,1,5,0
0.02,1,5,0
0.021,1,5,0
0.022,1,6,0
0.023,1,6,0
0.024,1,6,0
0.025,1,6,0
0.026000000000000002,1,7,0
0.027,1,7,0
0.028,2,7,0
0.029,2,7,0
0.03,2,7,0
0.031,3,7,0
0.032,4,7,0
0.033,4,7,0
0.034,4,7,0
0.035,4,7,0
0.036000000000000004,5,7,0
0.037,6,7,0
0.038,6,8,0
0.039,6,8,0
0.04,6,8,0
0.041,6,8,0
0.042,6,8,0
0.043000000000000003,6,8,0
0.044,6,8,0
0.045,6,8,0
0.046,6,8,0
0.047,7,8,0
0.048,8,8,0
0.049,8,9,0
0.05,9,9,0
0.051000000000000004,9,9,0
0.052000000000000005,9,9,0
0.053,9,9,0
0.054,10,10,0
0.055,11,10,0
0.056,11,10,0
0.057,12,10,0
0.058,12,10,0
0.059000000000000004,12,10,0
0.06,12,10,0
0.061,13,10,0
0.062,14,10,0
0.063,14,10,0
0.064,14,11,0
0.065,14,11,0
0.066,14,13,0
0.067,14,13,0
0.068,14,14,0
0.069,14,14,0
0.07,14,14,0
0.07100000000000001,14,15,0
0.07200000000000001,15,15,0
0.073,15,15,0
0.074,15,15,0
0.075,15,15,0
0.076,15,15,0
0.077,15,15,0
0.078,15,16,0
0.079,15,16,0
0.08,15,16,0
0.081,15,17,0
0.082,15,17,0
0.083,15,17,0
0.084,15,17,0
0.085,15,17,0
0.08600000000000001,15,17,0
0.08700000000000001,15,17,0
0.088,15,18,0
0.089,15,18,0
0.09,15,19,0
0.091,18,19,0
0.092,18,19,0
0.093,18,19,0
0.094,18,19,0
0.095,19,19,0
0.096,19,19,0
0.097,19,19,0
0.098,19,19,0
0.099,19,19,0
