qval,nb_prots_ctrl,nb_prots_nlrp3,nb_prots_both
0.0,0,0,0
0.001,0,1,0
0.002,0,1,0
0.003,0,1,0
0.004,1,1,0
0.005,1,1,0
0.006,1,2,0
0.007,1,2,0
0.008,1,2,0
0.009000000000000001,1,2,0
0.01,1,2,0
0.011,1,2,0
0.012,1,3,0
0.013000000000000001,2,3,0
0.014,2,3,0
0.015,2,3,0
0.016,2,4,0
0.017,2,4,0
0.018000000000000002,2,4,0
0.019,3,4,0
0.02,5,4,0
0.021,6,4,0
0.022,6,4,0
0.023,6,4,0
0.024,7,4,0
0.025,7,4,0
0.026000000000000002,7,4,0
0.027,7,5,0
0.028,7,5,0
0.029,7,5,0
0.03,7,5,0
0.031,8,5,0
0.032,9,5,0
0.033,9,6,0
0.034,9,6,0
0.035,9,6,0
0.036000000000000004,10,6,0
0.037,10,6,0
0.038,11,6,0
0.039,11,6,0
0.04,11,6,0
0.041,11,6,0
0.042,11,6,0
0.043000000000000003,12,6,0
0.044,12,6,0
0.045,13,6,0
0.046,13,6,0
0.047,14,7,0
0.048,14,7,0
0.049,14,7,0
0.05,14,7,0
0.051000000000000004,14,7,0
0.052000000000000005,14,7,0
0.053,14,7,0
0.054,14,7,0
0.055,14,7,0
0.056,14,9,0
0.057,15,9,0
0.058,16,9,0
0.059000000000000004,17,9,0
0.06,17,9,0
0.061,17,9,0
0.062,17,9,0
0.063,17,9,0
0.064,17,9,0
0.065,17,10,0
0.066,17,10,0
0.067,17,10,0
0.068,18,10,0
0.069,19,10,0
0.07,19,10,0
0.07100000000000001,19,10,0
0.07200000000000001,20,10,0
0.073,20,10,0
0.074,21,10,0
0.075,21,10,0
0.076,21,10,0
0.077,21,10,0
0.078,21,10,0
0.079,21,10,0
0.08,21,10,0
0.081,21,10,0
0.082,21,10,0
0.083,21,11,0
0.084,21,11,0
0.085,21,11,0
0.08600000000000001,21,11,0
0.08700000000000001,21,11,0
0.088,21,11,0
0.089,21,12,0
0.09,21,12,0
0.091,21,13,0
0.092,21,14,0
0.093,21,14,0
0.094,21,14,0
0.095,21,14,0
0.096,21,14,0
0.097,21,14,0
0.098,21,14,0
0.099,21,14,0
