qval,nb_prots_ctrl,nb_prots_nlrp3,nb_prots_both
0.0,0,0,0
0.001,0,0,0
0.002,0,0,0
0.003,0,0,0
0.004,0,1,0
0.005,0,1,0
0.006,0,1,0
0.007,1,1,0
0.008,2,1,0
0.009000000000000001,2,1,0
0.01,2,1,0
0.011,3,1,0
0.012,3,1,0
0.013000000000000001,3,3,0
0.014,4,3,0
0.015,4,3,0
0.016,4,3,0
0.017,4,3,0
0.018000000000000002,4,4,0
0.019,4,4,0
0.02,4,4,0
0.021,4,4,0
0.022,4,4,0
0.023,4,4,0
0.024,4,4,0
0.025,4,4,0
0.026000000000000002,4,4,0
0.027,4,4,0
0.028,4,4,0
0.029,4,4,0
0.03,4,4,0
0.031,4,4,0
0.032,4,4,0
0.033,4,4,0
0.034,4,4,0
0.035,4,4,0
0.036000000000000004,5,4,0
0.037,6,4,0
0.038,7,4,0
0.039,8,4,0
0.04,8,5,0
0.041,8,5,0
0.042,8,6,0
0.043000000000000003,8,6,0
0.044,8,7,0
0.045,9,8,0
0.046,9,8,0
0.047,9,8,0
0.048,9,8,0
0.049,9,8,0
0.05,9,8,0
0.051000000000000004,9,8,0
0.052000000000000005,10,8,0
0.053,10,8,0
0.054,10,9,0
0.055,10,9,0
0.056,10,9,0
0.057,10,9,0
0.058,10,9,0
0.059000000000000004,10,9,0
0.06,11,11,0
0.061,11,11,0
0.062,12,11,0
0.063,12,11,0
0.064,12,11,0
0.065,12,11,0
0.066,13,11,0
0.067,13,11,0
0.068,13,11,0
0.069,13,11,0
0.07,13,11,0
0.07100000000000001,13,11,0
0.07200000000000001,14,11,0
0.073,14,11,0
0.074,15,11,0
0.075,15,11,0
0.076,16,12,0
0.077,16,12,0
0.078,16,12,0
0.079,16,12,0
0.08,16,12,0
0.081,16,12,0
0.082,16,12,0
0.083,16,12,0
0.084,16,13,0
0.085,16,13,0
0.08600000000000001,16,13,0
0.08700000000000001,16,13,0
0.088,16,13,0
0.089,16,13,0
0.09,16,13,0
0.091,16,13,0
0.092,16,13,0
0.093,16,13,0
0.094,16,13,0
0.095,16,13,0
0.096,16,13,0
0.097,17,13,0
0.098,17,13,0
0.099,17,13,0
