pval,nb_prots_ctrl,nb_prots_nlrp3,nb_prots_both
0.0,0,0,0
0.001,1,3,0
0.002,1,4,0
0.003,1,4,0
0.004,1,4,0
0.005,1,5,0
0.006,1,7,0
0.007,2,7,0
0.008,3,7,0
0.009000000000000001,6,7,0
0.01,7,7,0
0.011,8,8,0
0.012,8,8,0
0.013000000000000001,8,9,0
0.014,8,9,0
0.015,10,9,0
0.016,10,9,0
0.017,11,9,0
0.018000000000000002,12,9,0
0.019,12,10,0
0.02,12,10,0
0.021,13,10,0
0.022,14,10,0
0.023,14,10,0
0.024,15,12,0
0.025,15,12,0
0.026000000000000002,16,12,0
0.027,16,12,0
0.028,16,13,0
0.029,16,13,0
0.03,16,14,0
0.031,17,15,0
0.032,17,18,0
0.033,18,18,0
0.034,18,19,0
0.035,19,19,0
0.036000000000000004,19,20,0
0.037,19,20,0
0.038,19,20,0
0.039,19,20,0
0.04,20,22,0
0.041,20,22,0
0.042,20,23,0
0.043000000000000003,20,24,0
0.044,21,24,0
0.045,21,25,0
0.046,22,25,0
0.047,22,25,0
0.048,23,25,0
0.049,23,25,0
0.05,23,25,0
0.051000000000000004,23,25,0
0.052000000000000005,23,26,0
0.053,23,26,0
0.054,23,27,0
0.055,24,27,0
0.056,25,28,0
0.057,25,28,0
0.058,25,28,0
0.059000000000000004,25,28,0
0.06,25,28,0
0.061,25,28,0
0.062,25,28,0
0.063,25,28,0
0.064,25,28,0
0.065,25,29,0
0.066,25,29,0
0.067,25,29,0
0.068,25,29,0
0.069,25,29,0
0.07,25,29,0
0.07100000000000001,25,29,0
0.07200000000000001,25,29,0
0.073,25,29,0
0.074,25,29,0
0.075,25,29,0
0.076,25,29,0
0.077,25,29,0
0.078,25,29,0
0.079,25,29,0
0.08,25,29,0
0.081,25,29,0
0.082,25,29,0
0.083,26,29,0
0.084,26,29,0
0.085,29,29,0
0.08600000000000001,29,29,0
0.08700000000000001,29,29,0
0.088,29,29,0
0.089,29,29,0
0.09,29,29,0
0.091,29,29,0
0.092,29,29,0
0.093,29,29,0
0.094,29,29,0
0.095,29,29,0
0.096,29,29,0
0.097,29,29,0
0.098,29,29,0
0.099,29,29,0
