test,period,n_components,p,q,RSS,amplitude,acrophase,mesor,n_points
ACACA/ctrl,16.0,1.0,0.01724792532313668,0.10923686037986566,0.6972824076170995,0.11007921004832152,-3.0184230456207772,8.420278576677543,36.0
ACACA/ctrl,17.0,1.0,0.010215757454250407,0.10923686037986566,0.6754961410924897,0.11390868526685127,-2.581690113360216,8.421117894884194,36.0
ACACA/ctrl,18.0,1.0,0.014490235976242327,0.10923686037986566,0.6899588162794957,0.10589639388118592,-2.1828312557464162,8.421781260816871,36.0
ACACA/ctrl,19.0,1.0,0.031032064966789896,0.147402308592252,0.7225497033607253,0.09376502637968122,-1.8259915459760077,8.422196681594722,36.0
ACAP2/nlrp3,10.0,1.0,0.01482013487852507,0.25653731239306743,0.5301904831729323,0.09268510234410197,-2.3180090219123084,7.181489084057201,36.0
ACAP2/nlrp3,11.0,1.0,0.027003927620322887,0.25653731239306743,0.549824817581435,0.0906075911103691,-0.8974007547697834,7.184707133707024,36.0
ACLY/nlrp3,18.0,1.0,0.03421388037966533,0.1625159318034103,0.11553701735264955,0.038169345205965675,-2.854331778860311,9.279615917708073,36.0
ACLY/nlrp3,19.0,1.0,0.020692999411245028,0.1625159318034103,0.11206914735363842,0.04031329241726254,-2.5605515555490763,9.27816585767873,36.0
ACLY/nlrp3,20.0,1.0,0.019938153345827936,0.1625159318034103,0.11181703600897969,0.04080620900273058,-2.309976834921069,9.27656142553457,36.0
ACLY/nlrp3,21.0,1.0,0.027537063373835657,0.1625159318034103,0.11402679748370755,0.039880006562594626,-2.0834618198824084,9.275153697713481,36.0
ACLY/nlrp3,22.0,1.0,0.0478308896025289,0.18175738048960985,0.11790703135044842,0.03752366325859632,-1.8792682529940483,9.274210757391565,36.0
ADGRD2/nlrp3,27.0,1.0,0.03729067075777548,0.35426137219886705,0.5642975227453797,0.24967972553136533,-2.534214191964808,5.735364952928521,14.0
ADGRD2/nlrp3,28.0,1.0,0.02555129995089822,0.35426137219886705,0.5268123244552905,0.2634428243632316,-2.3850537486968406,5.738606334734792,14.0
AGAP5/ctrl,16.0,1.0,0.034711516883698335,0.3297594103951342,0.01503963287469017,0.24161435765317643,-0.28992396257423736,5.79662594785163,6.0
AGAP5/ctrl,17.0,1.0,0.02467663809746523,0.3297594103951342,0.011979687828475206,0.24421678824179888,-6.027520850937684,5.785376955808141,6.0
AGAP5/nlrp3,18.0,1.0,0.019928072148439058,0.07572667416406842,0.051535674900055756,0.3155696099187085,-1.5935182120221345,5.995538197007636,7.0
AGAP5/nlrp3,19.0,1.0,0.008269908453014119,0.0624367507040956,0.03319905145084909,0.31914545038302145,-1.1415928771765076,5.9994473196231874,7.0
