test,period,n_components,p,q,p_reject,q_reject,RSS,R2,R2_adj,log-likelihood,amplitude,acrophase,mesor,peaks,heights,troughs,heights2,ME,resid_SE
AADAT/ctrl,0.0,0.0,,,,,3.9822820610212424,,,,,,6.572706109129442,,,,,,
AADAT/nlrp3,32.0,1.0,0.004146279651410678,0.03540851758776775,0.5167794670502822,,1.5507486234726469,0.6311523537425863,0.5640891453321474,-4.4629027380849,0.7237926595370268,-2.226474072814388,6.692750833217442,[11.33933934],[7.41654349],[27.35535536],[5.96896715],0.8264022176936565,0.37546923654065517
AAED1/ctrl,0.0,0.0,,,,,1.4897112309446208,,,,,,6.697539599281189,,,,,,
AAED1/nlrp3,0.0,0.0,,,,,1.9059944678829615,,,,,,6.712302626917243,,,,,,
ABCA12/ctrl,0.0,0.0,,,,,2.681114647585508,,,,,,5.90299498130214,,,,,,
ABCA12/nlrp3,0.0,0.0,,,,,2.3163404683824043,,,,,,5.85698995532254,,,,,,
ABCB1/ctrl,0.0,0.0,,,,,9.422168448524815,,,,,,7.541564364287984,,,,,,
ABCB1/nlrp3,0.0,0.0,,,,,18.331595862426166,,,,,,7.347660550871944,,,,,,
ABCB9/ctrl,0.0,0.0,,,,,1.9111978647294474,,,,,,5.779705172864491,,,,,,
ABCB9/nlrp3,0.0,0.0,,,,,1.656009952649665,,,,,,5.923592485896259,,,,,,
ABCC1/ctrl,32.0,1.0,0.005093392879521708,0.07640089319282561,0.47658971236341197,,0.3578427793777746,0.2738426492632956,0.2298331128550105,31.919461647085377,0.09176400623105074,-2.4403162154010807,8.104239233493699,[12.42842843],[8.19600324],[28.44444444],[8.01247523],0.21186056145893373,0.10413318677158252
ABCC1/nlrp3,32.0,1.0,0.02551689280953695,0.3515532496814622,0.4732237779934323,,0.3297213876651194,0.19934741816672708,0.1508230192677409,33.392684393567414,0.0714398677047603,-2.515789912784619,8.145511581866518,[12.81281281],[8.21695106],[28.76476476],[8.07407274],0.20336562660083995,0.09995777709599846
ABCC3/ctrl,0.0,0.0,,,,,3.941665674847522,,,,,,5.869451801825318,,,,,,
ABCC3/nlrp3,0.0,0.0,,,,,8.573151463400542,,,,,,6.087306125066467,,,,,,
ABCD2/ctrl,0.0,0.0,,,,,0.6077700267941202,,,,,,5.689170555297009,,,,,,
ABCD2/nlrp3,0.0,0.0,,,,,0.2746892893749671,,,,,,5.697958435465901,,,,,,
ABHD12/ctrl,0.0,0.0,,,,,0.29769121921223524,,,,,,7.7750153191348925,,,,,,
ABHD12/nlrp3,23.0,1.0,0.0629891724971372,0.20683605142391556,0.9410308417848466,,0.19253170330922031,0.15427681526700343,0.1030208646771249,43.07645373022721,0.04752111306757412,-2.226474072814388,7.794571914190122,[8.15015015],[7.8420927],[19.66166166],[7.7470508],0.15540146770066784,0.07638255062298813
ABHD2/ctrl,0.0,0.0,,,,,1.7689926275044792,,,,,,5.708266432081592,,,,,,
ABHD2/nlrp3,32.0,1.0,0.004033202725046259,0.05826475968015499,0.8054010832127484,,0.7694232784871929,0.5718080783726122,0.5059323981222448,1.57460551659916,0.39725828989635437,-1.8994213841523875,5.509811933624704,[9.67367367],[5.90707022],[25.68968969],[5.11255364],0.5255800263333905,0.24328256418715333
ABHD3/ctrl,0.0,0.0,,,,,0.7820481716310655,,,,,,5.605042159108269,,,,,,
ABHD3/nlrp3,0.0,0.0,,,,,0.6923063876742471,,,,,,5.563533178810025,,,,,,
ABLIM3/ctrl,0.0,0.0,,,,,1.3482929429783757,,,,,,6.12846025467487,,,,,,
ABLIM3/nlrp3,0.0,0.0,,,,,0.6561528858546521,,,,,,6.169441540863742,,,,,,
ACAP1/ctrl,0.0,0.0,,,,,1.2702492016544875,,,,,,7.621005386557716,,,,,,
ACAP1/nlrp3,0.0,0.0,,,,,1.5653608436603281,,,,,,7.6789721299993445,,,,,,
ACAP3/ctrl,0.0,0.0,,,,,13.479399611141483,,,,,,6.739579965342921,,,,,,
ACAP3/nlrp3,0.0,0.0,,,,,9.06587321081501,,,,,,6.791159413479655,,,,,,
ACIN1/ctrl,0.0,0.0,,,,,0.5053690777439882,,,,,,8.17124999728691,,,,,,
ACIN1/nlrp3,0.0,0.0,,,,,0.40923442805820515,,,,,,8.191051031704383,,,,,,
ACP1/ctrl,0.0,0.0,,,,,0.5590667030317003,,,,,,8.135488444537536,,,,,,
