test,period,n_components,p,q,p_reject,q_reject,RSS,R2,R2_adj,log-likelihood,amplitude,acrophase,mesor,peaks,heights,troughs,heights2,ME,resid_SE
AAAS/ctrl,0.0,0.0,,,,,0.6451259086426321,,,,,,7.83098552531628,,,,,,
AAAS/nlrp3,0.0,0.0,,,,,0.5027382109358545,,,,,,7.883243976088585,,,,,,
AARS1/ctrl,32.0,1.0,0.009179965632902243,0.10497065629628904,0.9799175792672195,,0.09046779621237809,0.2474492003909139,0.20184006102066632,56.67125771893137,0.040989526810133015,-1.597526594618233,8.820494200434604,[8.13613614],[8.86148292],[24.08808809],[8.77950468],0.10652486567584578,0.05235884232937225
AARS1/nlrp3,32.0,1.0,0.022473858016047288,0.2992825286412476,0.6779834540654011,,0.12562655591108787,0.20548577960484105,0.1573334026111951,50.76150276474658,0.04401643269916633,-1.8742634850245414,8.809187411667725,[9.54554555],[8.85320384],[25.56156156],[8.76517156],0.12552918712431307,0.061699800085891904
ABCA4/ctrl,0.0,0.0,,,,,0.048507219013221636,,,,,,5.621409994569512,,,,,,
ABCA4/nlrp3,0.0,0.0,,,,,0.548632155062107,,,,,,5.738535826458525,,,,,,
ABCA7/ctrl,0.0,0.0,,,,,4.435641468166576,,,,,,6.11600190652042,,,,,,
ABCA7/nlrp3,0.0,0.0,,,,,3.5432711498403133,,,,,,6.225610240442108,,,,,,
ABCC6/ctrl,20.0,1.0,0.027618272557844215,0.14926287371901104,0.9929199610571634,,3.0432524763832065,0.3444416488033861,0.26731713689790215,-9.550716298923895,0.4461210426471456,-2.8051057527548506,5.995312569868094,[8.92892893],[6.44143361],[18.93893894],[5.54919406],0.8926660665155014,0.4231014672060986
ABCC6/nlrp3,0.0,0.0,,,,,5.463599234942867,,,,,,5.878832699604613,,,,,,
ABCC8/ctrl,0.0,0.0,,,,,3.9651396452859693,,,,,,6.147635110821301,,,,,,
ABCC8/nlrp3,0.0,0.0,,,,,5.103670951934621,,,,,,6.105750436944328,,,,,,
ABCD4/ctrl,0.0,0.0,,,,,3.4866613252309775,,,,,,6.208783473404941,,,,,,
ABCD4/nlrp3,0.0,0.0,,,,,3.3500992256589024,,,,,,6.343133991874406,,,,,,
ACACB/ctrl,0.0,0.0,,,,,5.348564018512389,,,,,,6.355472162004055,,,,,,
ACACB/nlrp3,0.0,0.0,,,,,4.961670556428149,,,,,,6.3583029012744365,,,,,,
ACAD8/ctrl,0.0,0.0,,,,,2.407030906698411,,,,,,6.350088995931122,,,,,,
ACAD8/nlrp3,0.0,0.0,,,,,2.7105577407092314,,,,,,6.3205215128398216,,,,,,
ACBD5/ctrl,0.0,0.0,,,,,2.1189728810561395,,,,,,6.684615514200187,,,,,,
ACBD5/nlrp3,0.0,0.0,,,,,2.186596837564673,,,,,,6.763777368516018,,,,,,
ACOT13/ctrl,0.0,0.0,,,,,3.7256381443092033,,,,,,6.741340903734514,,,,,,
ACOT13/nlrp3,0.0,0.0,,,,,3.888669569576488,,,,,,6.68923151517501,,,,,,
ACTR2/ctrl,0.0,0.0,,,,,0.12401379754010412,,,,,,8.965404881308451,,,,,,
ACTR2/nlrp3,18.0,1.0,0.011666810290348106,0.1750021543552216,0.04856366637924647,,0.16359543528619913,0.2364357545237824,0.1901591335858298,46.00801132061605,0.05304961370109851,1.427710775505271,8.935211784427544,[13.90990991],[8.9882613],[4.93693694],[8.88216312],0.14324833425123495,0.07040907209241665
ACVRL1/ctrl,0.0,0.0,,,,,3.4698901289718425,,,,,,6.55376175838649,,,,,,
ACVRL1/nlrp3,31.0,1.0,0.11103134752763644,0.6082282078107631,,,0.0001839177247823848,0.9876720398661968,0.9630161195985903,14.298878685976199,0.23256705062920036,-2.84284260144662,6.908609005826742,[14.02602603],[7.14117532],[29.47947948],[6.67604581],0.1723168082351334,0.013561626922400748
ADA/ctrl,0.0,0.0,,,,,1.5814023742384198,,,,,,6.925489877065817,,,,,,
ADA/nlrp3,0.0,0.0,,,,,1.7934240110870558,,,,,,6.961267043667102,,,,,,
ADAM10/ctrl,0.0,0.0,,,,,0.5377092983879836,,,,,,7.839618660954119,,,,,,
ADAM10/nlrp3,0.0,0.0,,,,,0.44855756168824457,,,,,,7.833700607920381,,,,,,
ADAM30/ctrl,0.0,0.0,,,,,3.379505920209905,,,,,,5.948051916657819,,,,,,
ADAM30/nlrp3,0.0,0.0,,,,,3.5392202473144985,,,,,,5.939319173403343,,,,,,
ADAMTS19/ctrl,0.0,0.0,,,,,7.968154726471891,,,,,,6.185579314562487,,,,,,
ADAMTS19/nlrp3,32.0,1.0,0.040950288370402266,0.3433002533823698,0.9261185772606992,,4.171136106724003,0.19186522081241386,0.13798956886657476,-12.697706196484454,0.2575124034845353,-2.3145267197618495,6.116520961268071,[11.78778779],[6.37402929],[27.8038038],[5.85900856],0.761518105668066,0.3728778221135355
ADAR/ctrl,0.0,0.0,,,,,0.4186114164949492,,,,,,8.37062890077113,,,,,,
ADAR/nlrp3,0.0,0.0,,,,,0.32004035595763836,,,,,,8.377276993611641,,,,,,
ADGRL3/ctrl,0.0,0.0,,,,,9.604334984748462,,,,,,3.706392129953502,,,,,,
ADM/ctrl,0.0,0.0,,,,,12.917911553012797,,,,,,7.030900548679842,,,,,,
ADM/nlrp3,0.0,0.0,,,,,5.027766452626333,,,,,,7.245287624358649,,,,,,
ADRB2/ctrl,0.0,0.0,,,,,2.62365009562649,,,,,,6.794617742265144,,,,,,
ADRB2/nlrp3,0.0,0.0,,,,,1.4721562189504767,,,,,,6.828976366197979,,,,,,
ADRM1/ctrl,0.0,0.0,,,,,0.25271584325702684,,,,,,7.976279613144789,,,,,,
ADRM1/nlrp3,32.0,1.0,0.013765123086983855,0.13755477261142568,0.7205584356507371,,0.28219836107543717,0.22874357692471925,0.18200076340500526,36.19416454735262,0.06899673910095938,1.515763422452733,7.996549800864725,[24.28028028],[8.06554654],[8.26426426],[7.92755323],0.18814004055032232,0.09247413415185059
AFAP1/ctrl,24.0,1.0,0.010548651101532025,0.044972142503765244,0.5592364377724912,,0.15624255008908436,0.3052064881354851,0.2496230071863239,32.90942360577264,0.07146557761352401,-2.8680005005744658,6.3687315297349025,[10.95495495],[6.44019711],[22.96696697],[6.2972665],0.16281693724250515,0.07905505678679495
AFAP1/nlrp3,0.0,0.0,,,,,0.2055110888627512,,,,,,6.415995431875267,,,,,,
AFAP1L1/ctrl,0.0,0.0,,,,,5.427653866126065,,,,,,6.964840396133635,,,,,,
AFAP1L1/nlrp3,32.0,1.0,0.028854764826406032,0.2598545603659863,0.8669295609753389,,3.1038527329418093,0.19335982044847577,0.1444725368392925,-6.966041127560658,0.21549976252066827,0.8616580451287321,6.944861247125299,[27.61161161],[7.16036101],[11.5955956],[6.72936148],0.6239568305450388,0.3066857404942054
AFF3/ctrl,0.0,0.0,,,,,2.2402163857670145,,,,,,6.059443767951471,,,,,,
AFF3/nlrp3,0.0,0.0,,,,,3.4092201454360485,,,,,,6.200027552208347,,,,,,
AGAP1/ctrl,0.0,0.0,,,,,2.0353060301160437,,,,,,5.4977365930699165,,,,,,
