test,period,n_components,p,q,p_reject,q_reject,RSS,R2,R2_adj,log-likelihood,amplitude,acrophase,mesor,peaks,heights,troughs,heights2,ME,resid_SE
DSP/nlrp3,0.0,0.0,,,,,0.09289300709969847,,,,,,9.539938720496949,,,,,,
DSTN/ctrl,0.0,0.0,,,,,0.17361198115467058,,,,,,8.860805613390845,,,,,,
DSTN/nlrp3,0.0,0.0,,,,,0.23627485084273944,,,,,,8.848113053343848,,,,,,
DTD2/ctrl,0.0,0.0,,,,,1.4374312031748027,,,,,,5.8828990526190585,,,,,,
DTD2/nlrp3,0.0,0.0,,,,,2.1950083854243796,,,,,,5.800144199050843,,,,,,
DTL/ctrl,0.0,0.0,,,,,3.4115309026778213,,,,,,6.349376895180607,,,,,,
DTL/nlrp3,0.0,0.0,,,,,3.540291486051365,,,,,,6.296655614755802,,,,,,
DUOX2/ctrl,0.0,0.0,,,,,0.6529032816798326,,,,,,5.37526764383292,,,,,,
DUSP14/ctrl,0.0,0.0,,,,,1.099449793045605,,,,,,7.768302176488668,,,,,,
DUSP14/nlrp3,0.0,0.0,,,,,0.7780064299729362,,,,,,7.833845787043611,,,,,,
DUSP23/ctrl,0.0,0.0,,,,,2.7813514421797767,,,,,,5.930188968580076,,,,,,
DUSP23/nlrp3,0.0,0.0,,,,,3.4506194098394345,,,,,,5.867779932850538,,,,,,
DVL2/ctrl,0.0,0.0,,,,,0.6639603696357866,,,,,,7.238539375720141,,,,,,
DVL2/nlrp3,0.0,0.0,,,,,0.9874913612977775,,,,,,7.1937823920117445,,,,,,
DYM/ctrl,32.0,1.0,0.030014910534895023,0.30456709293577744,0.38011334789560514,,7.592469839444219,0.19143042207978667,0.14242620523613747,-23.067271322438124,0.3238087936395684,-2.9560531475219274,7.157022224954492,[15.05505506],[7.48083102],[31.07107107],[6.83321343],0.9758779998630038,0.47966117585178997
DYM/nlrp3,0.0,0.0,,,,,9.6168025689878,,,,,,7.169015610719754,,,,,,
DYNC1LI1/ctrl,0.0,0.0,,,,,0.16900999438018788,,,,,,8.304797406718777,,,,,,
DYNC1LI1/nlrp3,0.0,0.0,,,,,0.12868593512315166,,,,,,8.297190168988541,,,,,,
DYNC1LI2/ctrl,0.0,0.0,,,,,0.5033403358891138,,,,,,8.113997513906371,,,,,,
DYNC1LI2/nlrp3,0.0,0.0,,,,,0.43506053146445867,,,,,,8.1121820613083,,,,,,
E2F5/ctrl,0.0,0.0,,,,,3.0596901746427734,,,,,,5.856920204206141,,,,,,
E2F5/nlrp3,0.0,0.0,,,,,3.8017471823979005,,,,,,5.89319221121154,,,,,,
EBP/ctrl,0.0,0.0,,,,,1.483463787852495,,,,,,7.529821702139637,,,,,,
EBP/nlrp3,0.0,0.0,,,,,2.8833555631551464,,,,,,7.541164748514227,,,,,,
EDC3/ctrl,0.0,0.0,,,,,1.7334026014662574,,,,,,8.232113623304361,,,,,,
EDC3/nlrp3,0.0,0.0,,,,,1.2707697106224431,,,,,,8.166000306792064,,,,,,
EDF1/ctrl,0.0,0.0,,,,,0.15756057702068027,,,,,,8.304150580086679,,,,,,
EDF1/nlrp3,0.0,0.0,,,,,0.36044487325963626,,,,,,8.299424368979778,,,,,,
EED/ctrl,0.0,0.0,,,,,0.4976683152666971,,,,,,6.938197830423238,,,,,,
EED/nlrp3,0.0,0.0,,,,,0.5172422303447762,,,,,,6.9029090693511135,,,,,,
EEF1B2/ctrl,0.0,0.0,,,,,0.9453932535331633,,,,,,8.62500900491716,,,,,,
EEF1B2/nlrp3,0.0,0.0,,,,,0.6863391714141642,,,,,,8.60913252884277,,,,,,
EEF2/ctrl,0.0,0.0,,,,,0.33686126504723773,,,,,,9.837766917864808,,,,,,
EEF2/nlrp3,0.0,0.0,,,,,0.3260277714831544,,,,,,9.832493143027374,,,,,,
EFEMP2/ctrl,0.0,0.0,,,,,1.4005375796670587,,,,,,6.184181428467651,,,,,,
EFEMP2/nlrp3,0.0,0.0,,,,,2.9876130485469896,,,,,,6.137856044434933,,,,,,
EFHC2/ctrl,0.0,0.0,,,,,0.02975738614748291,,,,,,5.472667469798669,,,,,,
EFHC2/nlrp3,0.0,0.0,,,,,0.2706260992345604,,,,,,5.474242884001351,,,,,,
EFNB1/ctrl,0.0,0.0,,,,,0.5791532497143572,,,,,,7.873491888672831,,,,,,
EFNB1/nlrp3,0.0,0.0,,,,,1.0076167979769424,,,,,,7.842529172772089,,,,,,
EHMT1/ctrl,0.0,0.0,,,,,0.9426446220667047,,,,,,6.9128383860203115,,,,,,
EHMT1/nlrp3,0.0,0.0,,,,,0.9394598065636761,,,,,,6.95531222904124,,,,,,
EID2/ctrl,0.0,0.0,,,,,1.0568848073594834,,,,,,5.666434370787176,,,,,,
EID2/nlrp3,21.0,1.0,0.05134857249998581,0.31554207526550276,0.04787593319414318,,0.25562332054265946,0.6950621388189827,0.5730869943465758,2.4224591899256396,0.47753216508999907,-2.5032109632206963,5.505422056259603,[8.36636637],[5.98295422],[18.87687688],[5.02789122],0.581228188195956,0.22610763832416605
EIF1AX/ctrl,0.0,0.0,,,,,0.6192156190688106,,,,,,7.9008559380066785,,,,,,
EIF1AX/nlrp3,0.0,0.0,,,,,1.0195413521502663,,,,,,7.860869050738327,,,,,,
EIF2B4/ctrl,0.0,0.0,,,,,0.4629830713334917,,,,,,7.790337957400583,,,,,,
EIF2B4/nlrp3,0.0,0.0,,,,,0.4889196726594982,,,,,,7.797540125269258,,,,,,
EIF3D/ctrl,0.0,0.0,,,,,0.11038356413602227,,,,,,8.89881689476639,,,,,,
EIF3D/nlrp3,0.0,0.0,,,,,0.08756916902229944,,,,,,8.890564343331455,,,,,,
EIF3F/ctrl,0.0,0.0,,,,,0.3196473226353752,,,,,,8.35383041482368,,,,,,
EIF3F/nlrp3,0.0,0.0,,,,,0.4815401617367586,,,,,,8.350652121854761,,,,,,
EIF4A2/ctrl,0.0,0.0,,,,,0.2931204393213325,,,,,,8.177227842867694,,,,,,
EIF4A2/nlrp3,0.0,0.0,,,,,0.30394071780081644,,,,,,8.173178735603615,,,,,,
EIF4E/ctrl,0.0,0.0,,,,,0.10260668890304592,,,,,,8.422040297945166,,,,,,
EIF4E/nlrp3,0.0,0.0,,,,,0.11027963419044191,,,,,,8.417773980171326,,,,,,
EIF4E3/ctrl,0.0,0.0,,,,,2.3763368423031235,,,,,,5.768865627917698,,,,,,
EIF4E3/nlrp3,0.0,0.0,,,,,1.9216662831159077,,,,,,5.78026745971656,,,,,,
EIF4G3/ctrl,0.0,0.0,,,,,0.5632279738076498,,,,,,7.401908537026632,,,,,,
EIF4G3/nlrp3,0.0,0.0,,,,,1.035944638217599,,,,,,7.397424386984104,,,,,,
EIF4H/ctrl,0.0,0.0,,,,,0.3910729714022108,,,,,,8.633281049533428,,,,,,
EIF4H/nlrp3,0.0,0.0,,,,,0.4327424890000054,,,,,,8.61601445265956,,,,,,
ELOVL7/ctrl,0.0,0.0,,,,,2.736351242260938,,,,,,5.823169139876086,,,,,,
ELOVL7/nlrp3,0.0,0.0,,,,,2.3588776730033407,,,,,,5.776254063880587,,,,,,
ELP2/ctrl,0.0,0.0,,,,,0.42631626083832647,,,,,,7.76270569757456,,,,,,
ELP2/nlrp3,0.0,0.0,,,,,0.3539134174071305,,,,,,7.7442227014304486,,,,,,
ELP4/ctrl,32.0,1.0,0.006153312056103255,0.023071317125386848,0.4531437358726975,,1.0029528677700932,0.272522930322021,0.2270556134671473,12.504143373059307,0.14190499117848754,2.232763547596349,6.504203867190418,[20.62862863],[6.64610622],[4.67667668],[6.36229904],0.3606135908863326,0.177037502009646
ELP4/nlrp3,0.0,0.0,,,,,1.5681024403996098,,,,,,6.4216851080548825,,,,,,
EMC3/ctrl,0.0,0.0,,,,,1.1941694504414877,,,,,,7.6584895896866225,,,,,,
EMC3/nlrp3,0.0,0.0,,,,,0.6250008161900559,,,,,,7.6728706779239335,,,,,,
EMC4/ctrl,0.0,0.0,,,,,2.556113078731748,,,,,,7.173807304827529,,,,,,
EMC4/nlrp3,0.0,0.0,,,,,2.6690979013550082,,,,,,7.179317113970985,,,,,,
EMC7/ctrl,0.0,0.0,,,,,0.6820496713204318,,,,,,7.851578449639714,,,,,,
EMC7/nlrp3,0.0,0.0,,,,,0.29146788146543795,,,,,,7.884915682942002,,,,,,
EMG1/ctrl,0.0,0.0,,,,,0.49233446243710227,,,,,,8.166613638469284,,,,,,
