test,period,n_components,p,q,p_reject,q_reject,RSS,R2,R2_adj,log-likelihood,amplitude,acrophase,mesor,peaks,heights,troughs,heights2,ME,resid_SE
ADAM22/nlrp3,0.0,0.0,,,,,8.615830648518411,,,,,,6.34444473154969,,,,,,
ADAMTS16/ctrl,0.0,0.0,,,,,5.508823407312304,,,,,,6.089106737141343,,,,,,
ADAMTS16/nlrp3,0.0,0.0,,,,,4.453622926525415,,,,,,6.097493142052219,,,,,,
ADCK2/ctrl,0.0,0.0,,,,,0.1045362037888271,,,,,,5.027212100940004,,,,,,
ADCK2/nlrp3,0.0,0.0,,,,,0.1681147760474862,,,,,,5.165723641584245,,,,,,
ADCY7/ctrl,0.0,0.0,,,,,10.840315836177318,,,,,,6.450235046727799,,,,,,
ADCY7/nlrp3,0.0,0.0,,,,,5.9665149482514215,,,,,,6.536726517604869,,,,,,
ADGRF4/ctrl,27.0,1.0,0.0121805889773003,0.0402220984822267,0.0975914872702287,,0.6253912314086407,0.3301619029411086,0.2692675304812094,10.6297076661053,0.1578492775236624,-2.3019477701979265,5.76305543421306,[9.89189189],[5.92090471],[23.40540541],[5.60520898],0.3496606215085941,0.1686027109952216
ADGRF4/nlrp3,32.0,1.0,0.0319508155826955,0.3210593048337978,0.9572414257745786,,0.5930579976294965,0.2913232336385496,0.2204555570024045,9.430922651060516,0.1407420748412828,-1.6981581911296182,5.7991507609765245,[8.64864865],[5.93989284],[24.66466466],[5.65840915],0.3592032683093762,0.1722001738717903
ADH5/ctrl,0.0,0.0,,,,,0.1539026794317331,,,,,,8.92437921563138,,,,,,
ADH5/nlrp3,0.0,0.0,,,,,0.1564898419330349,,,,,,8.929415499941666,,,,,,
AFF4/ctrl,0.0,0.0,,,,,1.2330308126628162,,,,,,6.363566097902984,,,,,,
AFF4/nlrp3,0.0,0.0,,,,,0.7448059719178691,,,,,,6.3384566291925335,,,,,,
AGBL4/ctrl,0.0,0.0,,,,,0.2747286556334519,,,,,,5.333184099596974,,,,,,
AGBL4/nlrp3,0.0,0.0,,,,,0.1481581275615923,,,,,,5.262192507386478,,,,,,
AGFG2/ctrl,0.0,0.0,,,,,3.6976300169562144,,,,,,6.199775004892398,,,,,,
AGFG2/nlrp3,0.0,0.0,,,,,2.439910146358446,,,,,,6.390968473525592,,,,,,
AGR2/ctrl,32.0,1.0,0.0463499396227496,0.50409683631335,0.6715291902948144,,1.9666224811500015,0.1746691606178463,0.1230859831564616,0.7201845052632976,0.1612132403237205,-2.4277372658371577,6.686522878507764,[12.36436436],[6.84773612],[28.38038038],[6.52530964],0.5049662214320249,0.2479051280952807
AGR2/nlrp3,0.0,0.0,,,,,3.031212299124093,,,,,,6.772268985965768,,,,,,
AGRN/ctrl,32.0,1.0,0.0281811785916917,0.4201139893689884,0.3071189776194725,,0.4667115413460841,0.1945137514600445,0.1456964030636837,27.13834383640951,0.0836804030025781,0.6226580034141929,8.420509392497944,[28.82882883],[8.5041898],[12.81281281],[8.33682977],0.2419514672233952,0.1189233954282519
AGRN/nlrp3,32.0,1.0,0.0064243030551163,0.0963645458267448,0.6102958513242889,,0.4930010493665814,0.2635538927406768,0.2189207953310209,26.151945272205445,0.1046064163031399,0.9748685912040402,8.479649769465395,[27.03503504],[8.58425619],[11.01901902],[8.37504469],0.2486725864862444,0.1222269435860246
AHNAK/ctrl,0.0,0.0,,,,,0.1354569879411582,,,,,,10.241606089545522,,,,,,
AHNAK/nlrp3,0.0,0.0,,,,,0.103056224872668,,,,,,10.267508455896074,,,,,,
AIF1L/ctrl,0.0,0.0,,,,,1.4665460373160233,,,,,,5.642606352176308,,,,,,
AIF1L/nlrp3,0.0,0.0,,,,,1.352390214342854,,,,,,5.649811277984305,,,,,,
AK6/ctrl,32.0,1.0,0.0183478988316763,0.2519105876187258,0.4826738640757668,,0.7073543988481695,0.2151931079542266,0.1676290538908464,19.65357610868852,0.1100105459033145,0.8742369946926551,7.585078210635554,[27.54754755],[7.69508876],[11.53153153],[7.47506959],0.2978670875384133,0.1464069048347032
AK6/nlrp3,32.0,1.0,0.0357615915499496,0.3415633845666217,0.2074662443671828,,1.1394367572396111,0.1828001217676819,0.1332728564202687,11.07194047796296,0.1261156400461085,0.8742369946926551,7.563226747760604,[27.54754755],[7.68934107],[11.5955956],[7.43711229],0.3780498780997818,0.1858181546109489
AKAP10/ctrl,0.0,0.0,,,,,2.470506824894632,,,,,,6.471830823080718,,,,,,
AKAP10/nlrp3,0.0,0.0,,,,,3.3218627050897425,,,,,,6.401983542847086,,,,,,
AKAP11/ctrl,0.0,0.0,,,,,1.6462279388526715,,,,,,6.669043407990062,,,,,,
AKAP11/nlrp3,0.0,0.0,,,,,1.6715657654836955,,,,,,6.66890474323578,,,,,,
AKNAD1/ctrl,0.0,0.0,,,,,4.397620662430043,,,,,,6.29419956443255,,,,,,
AKNAD1/nlrp3,0.0,0.0,,,,,5.107177231736724,,,,,,6.125248820429942,,,,,,
AKR1B1/ctrl,0.0,0.0,,,,,0.1749215151925064,,,,,,8.776280673608541,,,,,,
AKR1B1/nlrp3,0.0,0.0,,,,,0.1250790419139383,,,,,,8.745791599484392,,,,,,
AKR7A2/ctrl,0.0,0.0,,,,,0.6475668059524753,,,,,,7.942008719789214,,,,,,
AKR7A2/nlrp3,0.0,0.0,,,,,0.5886473612200516,,,,,,7.964497518258239,,,,,,
AKR7L/ctrl,0.0,0.0,,,,,5.389890553697359,,,,,,6.2288118943355695,,,,,,
