test,period,n_components,p,q,p_reject,q_reject,RSS,R2,R2_adj,log-likelihood,amplitude,acrophase,mesor,peaks,heights,troughs,heights2,ME,resid_SE
AADACL2/ctrl,0.0,0.0,,,,,5.097032418774889,,,,,,6.438254685671204,,,,,,
AADACL2/nlrp3,0.0,0.0,,,,,6.44840611215889,,,,,,6.529191635265461,,,,,,
AASDHPPT/ctrl,0.0,0.0,,,,,0.1992199512736753,,,,,,7.837822098139634,,,,,,
AASDHPPT/nlrp3,0.0,0.0,,,,,0.3534643086969971,,,,,,7.857529373226988,,,,,,
AASS/ctrl,32.0,1.0,0.020501442688468097,0.20727859279110972,0.9670191814529197,,0.4287466265194861,0.20989664769842575,0.1620115960437849,28.665558373604973,0.0840860909549499,-2.176158274558696,7.735942498770314,[11.08308308],[7.82002818],[27.0990991],[7.65185641],0.23190192178315178,0.11398386734859456
AASS/nlrp3,0.0,0.0,,,,,0.6901457724865129,,,,,,7.75849538912173,,,,,,
ABCB8/ctrl,0.0,0.0,,,,,1.4480580699495862,,,,,,6.647827499668626,,,,,,
ABCB8/nlrp3,0.0,0.0,,,,,2.7330181361124537,,,,,,6.667495919014899,,,,,,
ABCC4/ctrl,0.0,0.0,,,,,5.072601325402706,,,,,,6.365224727504561,,,,,,
ABCC4/nlrp3,0.0,0.0,,,,,2.5804592762232827,,,,,,6.400144691448297,,,,,,
ABHD10/ctrl,0.0,0.0,,,,,0.5069392102039967,,,,,,7.58964135962062,,,,,,
ABHD10/nlrp3,0.0,0.0,,,,,0.6689314712535313,,,,,,7.585068478987498,,,,,,
ABHD5/ctrl,0.0,0.0,,,,,1.2829865059502448,,,,,,6.423672452714431,,,,,,
ABHD5/nlrp3,0.0,0.0,,,,,0.3750332993534585,,,,,,6.480236034413043,,,,,,
ACACA/ctrl,18.0,1.0,0.014490235976243104,0.21735353964364656,0.0025215823648342406,,0.6899588162794958,0.22634020602417393,0.17945173366200273,20.101774351866574,0.10589618813855406,-2.188737224122619,8.421781458772031,[6.27027027],[8.52767581],[15.24324324],[8.31588553],0.2941816462208203,0.14459544570130997
ACACA/nlrp3,0.0,0.0,,,,,0.6951940585500963,,,,,,8.42794675804506,,,,,,
ACAP2/ctrl,0.0,0.0,,,,,0.861717541645785,,,,,,7.239026590730969,,,,,,
ACAP2/nlrp3,0.0,0.0,,,,,0.6843674935918483,,,,,,7.188487836550207,,,,,,
ACBD6/ctrl,0.0,0.0,,,,,0.8439071680063416,,,,,,6.984120801165412,,,,,,
ACBD6/nlrp3,0.0,0.0,,,,,0.7350839834834033,,,,,,6.941840540372901,,,,,,
ACLY/ctrl,32.0,1.0,0.0019447624470397828,0.029171436705596743,0.6737597996297586,,0.10511910165643909,0.31500266413379074,0.27348767408129326,53.969456559876335,0.05466369875667976,-2.125842476303003,9.246347059177765,[10.82682683],[9.30101008],[26.84284284],[9.19168336],0.11482720930083073,0.056439590031487616
ACLY/nlrp3,20.0,1.0,0.019938153345826937,0.10264164113902496,0.3894278035610159,,0.1118170360089797,0.21122960479746888,0.16342533842155793,52.85759800657456,0.04080615798873222,-2.3145267197618495,9.276561414805258,[7.36736737],[9.31736721],[17.33733734],[9.2357557],0.11842897697031572,0.05820992209731209
ACRBP/ctrl,0.0,0.0,,,,,1.3288897497381766,,,,,,5.746452389806095,,,,,,
ACRBP/nlrp3,0.0,0.0,,,,,0.9337309445983821,,,,,,5.836679903899597,,,,,,
ACSF2/ctrl,32.0,1.0,0.0323760729542224,0.41234537748713773,0.9870015728726127,,0.5749531914509829,0.18771103050629578,0.13848139599152587,23.38395335491351,0.091012279704628,-2.251631971942234,7.399762507152195,[11.46746747],[7.49077479],[27.48348348],[7.30875138],0.2685469561413008,0.1319955453163595
ACSF2/nlrp3,0.0,0.0,,,,,0.9565360758540703,,,,,,7.407740767945498,,,,,,
ACTR5/ctrl,32.0,1.0,0.04681735252807662,0.3980751646519576,0.7006633120969545,,0.4542292883633736,0.16934899082493038,0.11900650542038071,27.626310720532764,0.07480520133193158,-2.754789954499158,6.9830972661047515,[14.03003003],[7.05790146],[30.04604605],[6.90829206],0.23869402979752727,0.1173223077244869
ACTR5/nlrp3,0.0,0.0,,,,,0.6109996473607032,,,,,,6.965896355290383,,,,,,
ACTR6/ctrl,0.0,0.0,,,,,0.09878663622857999,,,,,,5.835976728397361,,,,,,
ACTR6/nlrp3,0.0,0.0,,,,,0.18512734617738194,,,,,,5.734098290851621,,,,,,
ADAM17/ctrl,0.0,0.0,,,,,1.0646664267576662,,,,,,7.246092615382258,,,,,,
ADAM17/nlrp3,0.0,0.0,,,,,1.0113116182506476,,,,,,7.255949553282408,,,,,,
ADAMTS20/ctrl,0.0,0.0,,,,,5.420103722418306,,,,,,6.409177756027409,,,,,,
ADAMTS20/nlrp3,0.0,0.0,,,,,4.531297594764672,,,,,,6.41063133045793,,,,,,
ADAMTSL4/ctrl,0.0,0.0,,,,,2.994209136880744,,,,,,6.446872093027536,,,,,,
ADAMTSL4/nlrp3,0.0,0.0,,,,,4.250162890855449,,,,,,6.377785943375865,,,,,,
ADAT3/ctrl,0.0,0.0,,,,,1.228766491760115,,,,,,5.742931402853596,,,,,,
