qval,nb_prots_ctrl,nb_prots_nlrp3,nb_prots_both
0.0,0,0,0
0.001,0,0,0
0.002,1,0,0
0.003,1,0,0
0.004,1,0,0
0.005,1,0,0
0.006,2,0,0
0.007,2,0,0
0.008,3,0,0
0.009000000000000001,4,0,0
0.01,4,0,0
0.011,4,0,0
0.012,4,0,0
0.013000000000000001,6,0,0
0.014,8,0,0
0.015,8,0,0
0.016,8,0,0
0.017,8,1,0
0.018000000000000002,8,1,0
0.019,8,1,0
0.02,8,2,0
0.021,8,3,0
0.022,8,3,0
0.023,8,4,0
0.024,8,5,0
0.025,8,5,0
0.026000000000000002,9,6,0
0.027,10,9,0
0.028,10,9,0
0.029,10,10,0
0.03,11,10,0
0.031,11,10,0
0.032,11,11,0
0.033,11,12,0
0.034,11,12,0
0.035,13,13,0
0.036000000000000004,13,14,0
0.037,14,14,0
0.038,15,14,0
0.039,17,14,0
0.04,17,14,0
0.041,17,14,0
0.042,17,14,0
0.043000000000000003,19,14,0
0.044,20,15,0
0.045,21,16,0
0.046,23,17,0
0.047,23,17,0
0.048,24,17,0
0.049,27,17,0
0.05,29,18,0
0.051000000000000004,29,18,0
0.052000000000000005,29,18,0
0.053,29,18,0
0.054,29,18,0
0.055,29,18,0
0.056,29,18,0
0.057,29,18,0
0.058,29,18,0
0.059000000000000004,29,18,0
