pval,nb_prots_ctrl,nb_prots_nlrp3,nb_prots_both
0.0,0,0,0
0.001,0,2,0
0.002,4,4,0
0.003,7,6,0
0.004,9,11,0
0.005,9,14,0
0.006,12,18,0
0.007,15,20,0
0.008,20,22,0
0.009000000000000001,24,28,0
0.01,25,34,0
0.011,28,37,0
0.012,30,39,0
0.013000000000000001,34,45,0
0.014,37,50,0
0.015,39,53,0
0.016,40,54,0
0.017,43,60,0
0.018000000000000002,47,67,0
0.019,51,71,0
0.02,55,75,0
0.021,59,80,1
0.022,59,87,1
0.023,66,91,1
0.024,71,93,1
0.025,73,95,1
0.026000000000000002,78,101,2
0.027,82,104,2
0.028,85,109,2
0.029,87,113,2
0.03,90,115,2
0.031,94,119,2
0.032,96,121,2
0.033,100,122,2
0.034,105,123,2
0.035,109,126,2
0.036000000000000004,113,127,2
0.037,117,131,2
0.038,121,135,2
0.039,126,135,2
0.04,130,138,3
0.041,136,146,3
0.042,141,147,4
0.043000000000000003,147,150,4
0.044,153,161,4
0.045,162,163,4
0.046,167,170,5
0.047,170,171,5
0.048,174,174,5
0.049,180,182,7
0.05,184,190,7
0.051000000000000004,184,190,7
0.052000000000000005,184,190,7
0.053,184,190,7
0.054,184,190,7
0.055,184,190,7
0.056,184,190,7
0.057,184,190,7
0.058,184,190,7
0.059000000000000004,184,190,7
