pval,nb_prots_ctrl,nb_prots_nlrp3,nb_prots_both
0.0,0,0,0
0.001,11,9,0
0.002,20,20,1
0.003,32,27,1
0.004,44,33,3
0.005,50,47,5
0.006,61,54,7
0.007,63,65,11
0.008,70,69,11
0.009000000000000001,83,78,11
0.01,92,85,15
0.011,99,91,17
0.012,103,99,17
0.013000000000000001,110,109,19
0.014,118,115,19
0.015,133,123,19
0.016,142,124,19
0.017,154,129,20
0.018000000000000002,161,132,20
0.019,167,138,22
0.02,177,150,23
0.021,179,155,24
0.022,183,163,24
0.023,192,171,25
0.024,197,175,25
0.025,210,185,26
0.026000000000000002,218,198,28
0.027,228,209,30
0.028,241,214,32
0.029,246,221,33
0.03,258,227,35
0.031,268,234,36
0.032,277,241,37
0.033,285,247,37
0.034,291,252,38
0.035,295,256,39
0.036000000000000004,298,268,39
0.037,307,276,41
0.038,310,284,42
0.039,321,291,46
0.04,323,303,47
0.041,328,313,48
0.042,339,321,51
0.043000000000000003,347,337,54
0.044,355,349,56
0.045,359,355,57
0.046,366,363,59
0.047,378,372,61
0.048,381,376,61
0.049,390,381,63
0.05,399,391,66
0.051000000000000004,399,391,66
0.052000000000000005,399,391,66
0.053,399,391,66
0.054,399,391,66
0.055,399,391,66
0.056,399,391,66
0.057,399,391,66
0.058,399,391,66
0.059000000000000004,399,391,66
