pval,nb_prots_ctrl,nb_prots_nlrp3,nb_prots_both
0.0,0,0,0
0.001,5,5,0
0.002,11,10,0
0.003,14,14,1
0.004,22,16,1
0.005,26,23,1
0.006,30,26,1
0.007,38,29,2
0.008,41,36,3
0.009000000000000001,47,42,3
0.01,55,46,3
0.011,61,49,4
0.012,69,54,4
0.013000000000000001,77,56,4
0.014,88,58,4
0.015,95,60,4
0.016,101,67,4
0.017,106,73,5
0.018000000000000002,113,79,7
0.019,118,86,8
0.02,122,93,8
0.021,126,98,8
0.022,131,99,8
0.023,140,105,9
0.024,146,112,11
0.025,152,117,12
0.026000000000000002,155,121,13
0.027,160,128,13
0.028,166,134,13
0.029,174,142,13
0.03,185,148,13
0.031,193,153,13
0.032,202,160,18
0.033,208,169,19
0.034,220,173,21
0.035,224,178,21
0.036000000000000004,226,184,21
0.037,235,190,23
0.038,250,197,24
0.039,256,200,24
0.04,263,205,24
0.041,271,209,24
0.042,272,216,25
0.043000000000000003,278,224,26
0.044,288,228,26
0.045,294,236,27
0.046,303,246,27
0.047,307,254,27
0.048,313,258,27
0.049,321,264,27
0.05,327,270,27
0.051000000000000004,327,270,27
0.052000000000000005,327,270,27
0.053,327,270,27
0.054,327,270,27
0.055,327,270,27
0.056,327,270,27
0.057,327,270,27
0.058,327,270,27
0.059000000000000004,327,270,27
