qval,nb_prots_ctrl,nb_prots_nlrp3,nb_prots_both
0.0,0,0,0
0.001,2,1,0
0.002,2,2,0
0.003,4,3,0
0.004,5,4,0
0.005,6,6,0
0.006,9,9,0
0.007,9,10,0
0.008,11,11,0
0.009000000000000001,11,11,0
0.01,12,12,0
0.011,12,13,0
0.012,15,14,0
0.013000000000000001,15,16,1
0.014,16,16,1
0.015,17,17,2
0.016,18,17,2
0.017,21,17,2
0.018000000000000002,22,18,2
0.019,27,20,3
0.02,29,22,3
0.021,31,25,3
0.022,32,25,3
0.023,34,29,4
0.024,35,29,4
0.025,38,30,4
0.026000000000000002,39,31,4
0.027,39,32,4
0.028,40,34,4
0.029,41,35,5
0.03,43,37,5
0.031,46,39,5
0.032,49,41,5
0.033,50,44,5
0.034,50,45,5
0.035,52,46,5
0.036000000000000004,53,46,5
0.037,54,47,5
0.038,54,47,5
0.039,56,47,5
0.04,56,47,5
0.041,58,47,6
0.042,60,47,6
0.043000000000000003,61,50,6
0.044,62,51,6
0.045,63,51,6
0.046,65,52,7
0.047,66,52,7
0.048,70,52,9
0.049,72,54,9
0.05,73,55,9
0.051000000000000004,73,55,9
0.052000000000000005,73,55,9
0.053,73,55,9
0.054,73,55,9
0.055,73,55,9
0.056,73,55,9
0.057,73,55,9
0.058,73,55,9
0.059000000000000004,73,55,9
