pval,nb_prots_ctrl,nb_prots_nlrp3,nb_prots_both
0.0,0,0,0
0.001,5,2,0
0.002,5,6,0
0.003,11,9,0
0.004,16,13,0
0.005,19,17,0
0.006,21,19,0
0.007,21,20,0
0.008,23,22,0
0.009000000000000001,31,24,0
0.01,34,28,0
0.011,36,30,0
0.012,40,34,0
0.013000000000000001,43,38,0
0.014,48,41,1
0.015,48,45,1
0.016,54,46,1
0.017,59,48,1
0.018000000000000002,65,55,1
0.019,73,59,2
0.02,78,63,2
0.021,86,66,2
0.022,91,70,2
0.023,96,73,3
0.024,102,79,3
0.025,108,81,4
0.026000000000000002,113,84,4
0.027,122,91,4
0.028,128,97,4
0.029,132,100,4
0.03,142,109,4
0.031,145,113,4
0.032,153,117,5
0.033,156,118,5
0.034,161,126,5
0.035,166,134,5
0.036000000000000004,173,139,5
0.037,177,143,5
0.038,183,146,6
0.039,190,152,7
0.04,193,153,7
0.041,198,158,7
0.042,203,161,9
0.043000000000000003,209,167,9
0.044,214,175,9
0.045,218,183,9
0.046,223,190,9
0.047,229,194,9
0.048,232,200,10
0.049,235,205,10
0.05,237,212,10
0.051000000000000004,237,212,10
0.052000000000000005,237,212,10
0.053,237,212,10
0.054,237,212,10
0.055,237,212,10
0.056,237,212,10
0.057,237,212,10
0.058,237,212,10
0.059000000000000004,237,212,10
