qval,nb_prots_ctrl,nb_prots_nlrp3,nb_prots_both
0.0,0,0,0
0.001,0,0,0
0.002,0,0,0
0.003,0,0,0
0.004,0,0,0
0.005,1,0,0
0.006,2,1,0
0.007,3,3,0
0.008,3,3,0
0.009000000000000001,3,3,0
0.01,4,4,0
0.011,5,6,0
0.012,5,6,0
0.013000000000000001,6,6,0
0.014,7,6,0
0.015,7,6,0
0.016,7,6,0
0.017,9,6,0
0.018000000000000002,9,6,0
0.019,9,6,0
0.02,11,6,0
0.021,13,6,0
0.022,13,6,0
0.023,13,7,0
0.024,14,8,0
0.025,15,9,0
0.026000000000000002,15,11,0
0.027,15,11,0
0.028,15,11,0
0.029,16,11,0
0.03,17,11,0
0.031,18,12,0
0.032,18,12,0
0.033,18,12,0
0.034,19,12,0
0.035,22,12,0
0.036000000000000004,22,13,0
0.037,25,13,1
0.038,26,14,1
0.039,27,14,1
0.04,30,15,1
0.041,30,17,1
0.042,30,19,1
0.043000000000000003,31,19,1
0.044,31,19,1
0.045,32,19,1
0.046,35,19,1
0.047,36,19,1
0.048,37,19,1
0.049,38,20,1
0.05,39,21,1
0.051000000000000004,39,21,1
0.052000000000000005,39,21,1
0.053,39,21,1
0.054,39,21,1
0.055,39,21,1
0.056,39,21,1
0.057,39,21,1
0.058,39,21,1
0.059000000000000004,39,21,1
