pval,nb_prots_ctrl,nb_prots_nlrp3,nb_prots_both
0.0,0,0,0
0.001,4,0,0
0.002,5,1,0
0.003,9,5,0
0.004,13,9,0
0.005,19,10,0
0.006,23,19,0
0.007,26,22,0
0.008,27,26,0
0.009000000000000001,30,30,0
0.01,32,32,1
0.011,36,33,1
0.012,38,36,2
0.013000000000000001,41,40,2
0.014,45,43,2
0.015,50,47,2
0.016,56,50,3
0.017,66,52,3
0.018000000000000002,69,59,3
0.019,75,65,3
0.02,76,66,3
0.021,83,68,3
0.022,86,74,3
0.023,95,80,4
0.024,101,84,4
0.025,103,88,4
0.026000000000000002,105,90,4
0.027,110,91,4
0.028,115,94,4
0.029,118,97,4
0.03,123,97,4
0.031,133,102,4
0.032,135,105,4
0.033,137,111,5
0.034,140,118,6
0.035,146,129,6
0.036000000000000004,151,130,6
0.037,153,135,6
0.038,159,143,6
0.039,167,144,6
0.04,171,153,6
0.041,180,157,7
0.042,185,158,7
0.043000000000000003,190,161,7
0.044,200,167,7
0.045,204,172,7
0.046,212,175,7
0.047,220,179,8
0.048,224,182,8
0.049,232,187,10
0.05,237,189,10
0.051000000000000004,237,189,10
0.052000000000000005,237,189,10
0.053,237,189,10
0.054,237,189,10
0.055,237,189,10
0.056,237,189,10
0.057,237,189,10
0.058,237,189,10
0.059000000000000004,237,189,10
