pval,nb_prots_ctrl,nb_prots_nlrp3,nb_prots_both
0.0,0,0,0
0.001,4,5,0
0.002,6,8,0
0.003,9,12,0
0.004,11,15,0
0.005,13,19,0
0.006,16,24,0
0.007,23,25,0
0.008,29,28,0
0.009000000000000001,30,30,0
0.01,32,36,0
0.011,34,40,0
0.012,38,49,0
0.013000000000000001,42,56,0
0.014,44,62,0
0.015,49,68,0
0.016,55,73,0
0.017,59,75,0
0.018000000000000002,67,77,1
0.019,68,80,2
0.02,77,87,2
0.021,82,89,2
0.022,86,96,2
0.023,87,103,2
0.024,91,106,2
0.025,95,108,2
0.026000000000000002,98,113,2
0.027,101,118,2
0.028,106,121,2
0.029,112,125,2
0.03,114,130,2
0.031,118,133,2
0.032,122,139,2
0.033,128,146,2
0.034,131,153,3
0.035,133,159,3
0.036000000000000004,136,161,3
0.037,141,167,3
0.038,150,172,4
0.039,157,179,4
0.04,164,184,6
0.041,167,186,6
0.042,169,189,6
0.043000000000000003,177,192,6
0.044,181,198,6
0.045,184,206,7
0.046,190,210,7
0.047,191,221,7
0.048,195,226,7
0.049,197,228,7
0.05,201,234,8
0.051000000000000004,201,234,8
0.052000000000000005,201,234,8
0.053,201,234,8
0.054,201,234,8
0.055,201,234,8
0.056,201,234,8
0.057,201,234,8
0.058,201,234,8
0.059000000000000004,201,234,8
