ZT_4_1,ZT_4_2,ZT_4_3,ZT_8_1,ZT_8_2,ZT_8_3,ZT_12_1,ZT_12_2,ZT_12_3,ZT_16_1,ZT_16_2,ZT_16_3,ZT_20_1,ZT_20_2,ZT_20_3,ZT_24_1,ZT_24_2,ZT_24_3
48.001,41.0,31.001,43.008,44.999,58.0,35.0,58.0,66.0,60.0,39.0,46.0,49.0,47.999,29.0,47.001,26.0,26.0
1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0
2131.757,2245.048,943.991,1415.358,1494.363,1104.0,1280.233,1141.133,1079.018,1488.215,1578.037,1274.019,1614.611,1476.004,1686.003,1917.769,1747.695,1482.093
14.0,37.0,12.0,17.0,18.0,9.0,15.0,20.0,27.0,28.0,30.0,26.0,34.0,31.004,23.0,25.0,28.0,17.0
5.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,4.0,2.0,2.0,6.0,3.0,1.0,2.0,2.0,1.0
467.126,367.106,260.999,430.305,510.192,302.186,386.218,402.005,443.001,611.191,458.021,322.001,588.24,398.232,296.011,382.016,295.156,263.001
1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0
557.015,587.197,318.042,466.027,575.011,397.002,484.999,495.0,406.002,551.003,638.001,481.555,738.148,650.071,678.107,754.09,762.124,659.0
0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0
0.0,3.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,5.0,4.0,0.0,5.0,1.0,1.0,3.0,5.0,1.0,1.0,2.0,6.0,3.0,2.0,5.0,2.0,1.0
1691.652,1706.668,1321.22,1760.767,1696.511,1681.067,1672.474,1466.026,2101.008,1663.119,1625.397,1555.214,1610.51,1831.054,1784.168,1730.642,1224.737,1341.588
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.001,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,1.998,0.0,2.0,4.0,2.0,3.0,2.0,3.0
3.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0
94.56,62.088,70.998,104.365,93.083,111.999,91.208,101.336,119.084,161.198,158.675,163.035,170.801,173.098,207.433,184.194,158.049,165.0
929.038,949.0,745.113,793.187,815.0,707.261,756.59,794.0,959.344,1055.044,970.999,825.242,854.948,1165.125,1033.884,997.529,801.086,855.0
1851.243,1864.935,1409.298,1829.207,1786.017,1651.735,1553.803,1359.0,1744.106,2205.301,1947.492,1923.418,2345.871,2055.752,2246.14,2124.969,1794.248,1957.566
400.0,468.015,277.006,378.025,451.006,394.999,273.061,277.139,288.999,375.999,386.125,396.999,377.528,449.002,482.0,453.686,438.363,388.001
4422.133,4692.295,2620.647,4047.313,3972.307,3697.396,3934.968,3438.613,3594.372,4027.808,3579.917,3468.516,4315.147,3399.329,4294.567,4406.598,3311.933,3201.01
969.045,851.123,523.56,881.382,798.372,741.0,835.146,675.001,633.0,944.045,801.238,743.0,1103.455,759.0,831.268,966.074,803.336,788.043
10.999,11.0,7.006,12.0,14.0,6.0,12.0,7.0,8.0,22.0,12.0,19.0,10.0,12.0,8.0,17.0,9.0,17.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
67.0,62.0,54.0,54.019,48.0,37.011,31.001,42.001,47.0,77.0,50.0,50.0,92.969,44.0,49.0,51.0,38.0,38.0
150.001,297.045,103.999,83.995,105.0,73.0,47.0,75.001,62.0,99.006,80.999,46.0,102.999,61.0,42.0,30.001,43.076,38.0
1128.82,1457.508,1033.247,1257.572,1357.193,1261.371,1213.974,1243.001,1444.281,1082.521,1236.257,1192.004,1077.044,1424.299,1297.999,1137.37,817.217,887.999
1344.928,1208.11,750.41,1158.171,1214.287,936.05,1157.349,1031.055,1032.513,1464.493,1139.003,941.999,1496.864,1000.013,1037.661,1062.304,767.505,739.987
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.004,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.615,1.989
