ZT_4_1,ZT_4_2,ZT_4_3,ZT_8_1,ZT_8_2,ZT_8_3,ZT_12_1,ZT_12_2,ZT_12_3,ZT_16_1,ZT_16_2,ZT_16_3,ZT_20_1,ZT_20_2,ZT_20_3,ZT_24_1,ZT_24_2,ZT_24_3
30.0,31.0,53.0,51.0,48.0,46.0,64.001,126.001,68.012,45.0,44.0,50.001,41.0,49.0,43.0,65.0,60.0,30.001
1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0
2265.602,2473.903,1473.356,1259.002,1929.941,880.033,1570.846,2381.046,734.466,1105.074,1194.254,918.415,1468.762,1441.07,898.0,2090.007,1387.995,1088.422
16.001,22.0,16.0,9.0,19.0,8.0,25.0,24.0,10.999,16.0,17.0,13.0,22.002,22.0,20.0,22.0,9.0,18.0
1.0,5.0,4.0,5.0,3.0,3.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,4.0,0.0,2.0,4.0,0.0
427.622,327.252,411.848,453.0,585.148,402.0,487.085,455.489,705.575,486.026,461.304,420.522,326.06,486.574,268.022,447.138,413.359,191.029
3.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,4.0,0.0,0.0
580.258,569.017,472.0,352.001,714.154,307.001,535.0,947.524,292.001,457.033,490.031,441.171,629.53,618.91,357.999,842.026,714.069,472.555
2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0
0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
0.0,3.999,4.0,2.0,3.0,1.0,4.0,2.0,2.0,4.0,2.0,1.0,3.0,3.0,4.0,1.0,4.0,0.0
1672.946,1421.101,1707.438,2128.325,1999.753,1810.0,1683.268,2050.385,1743.093,1479.038,1569.746,1435.277,1429.872,1491.634,1311.483,2146.732,1655.404,936.423
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.001,0.0,0.0
1.998,1.997,0.0,1.0,1.0,0.0,0.0,2.998,0.0,3.0,1.998,0.0,3.0,4.0,3.0,3.0,2.067,1.0
1.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0
97.609,81.25,104.359,95.048,120.379,97.118,127.83,181.507,95.599,77.348,150.923,136.036,140.327,199.23,118.87,184.606,151.573,114.239
863.348,761.444,939.382,881.057,846.551,891.047,794.567,1021.153,988.075,810.06,852.033,799.033,718.886,812.1,824.045,1169.958,895.88,599.179
1864.511,1593.642,1911.453,1505.867,2194.977,1335.311,1814.985,2518.581,1423.009,1377.277,1952.215,1513.617,1823.895,2117.005,1530.007,2400.818,2290.792,1321.449
358.046,383.009,421.068,356.107,383.0,282.999,342.0,526.09,239.0,306.135,326.998,318.0,374.019,345.006,277.999,531.024,413.017,289.001
4580.374,4499.844,3571.014,3838.244,4720.05,3163.73,4356.858,5334.661,2041.997,3141.143,3251.061,2680.649,3618.762,3796.212,2432.21,5139.033,4376.248,2180.63
926.742,721.655,797.004,749.002,1085.273,594.0,891.258,1157.412,476.0,573.999,879.124,613.423,794.571,956.447,546.003,1042.08,984.002,555.012
12.0,12.0,10.0,10.0,11.0,10.0,7.0,14.999,6.0,8.999,15.0,5.0,13.0,10.0,7.0,12.0,6.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
64.002,72.0,53.0,44.0,58.0,43.0,25.0,49.0,34.0,36.0,59.0,52.0,33.0,77.0,43.0,66.0,52.999,32.0
185.11,414.211,130.0,88.237,231.999,77.999,56.0,139.001,54.0,34.0,101.061,36.0,45.0,101.0,37.999,37.999,76.0,19.0
1175.752,1119.836,1221.342,1369.001,1075.37,1214.061,1276.434,1641.921,1144.324,1141.457,1091.301,1122.065,1051.173,1026.637,911.004,1406.88,1116.389,662.028
1184.701,1158.737,1057.047,1060.483,1675.394,885.002,1268.62,1561.93,833.135,991.061,1156.388,911.161,988.406,1442.678,694.122,1162.09,1289.734,583.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.034,1.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.966,0.0,0.0
0.0,2.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
2.19,0.0,4.41,10.343,9.888,4.398,11.374,11.449,5.615,4.083,9.987,7.485,4.436,9.745,9.615,7.948,13.37,5.251
133.0,154.003,104.085,87.0,147.029,75.0,99.0,179.003,62.0,92.0,106.0,89.0,131.0,157.002,72.0,171.0,140.0,103.002
1.0,3.0,0.0,3.0,1.0,2.0,6.0,7.0,3.0,1.0,0.0,2.0,1.0,2.0,4.0,6.0,2.0,3.0
2744.05,2166.207,2849.587,3122.048,2656.049,2631.18,2747.985,2872.211,3287.199,2975.161,2875.233,2959.365,2485.082,2664.37,2776.659,4486.264,3001.779,2023.25
873.299,766.264,981.267,825.696,1162.619,724.579,858.54,1170.269,795.402,753.9,982.671,787.035,883.214,1060.54,810.107,1378.798,1148.447,686.408
9878.867,8487.757,11699.78,14326.13,10675.012,13206.935,11148.374,10895.705,13880.321,10688.564,10391.483,11751.09,8908.35,9153.694,9261.48,13233.313,9748.049,6044.362
6381.053,6340.443,6453.869,6361.711,7433.584,5313.839,6199.167,8741.815,4850.876,5013.299,6718.915,5102.541,5277.164,6546.638,4785.658,7107.582,7436.399,3444.215
