qval,nb_prots_ctrl,nb_prots_nlrp3,nb_prots_both
0.0,0,0,0
0.001,38,15,2
0.002,89,20,3
0.003,128,31,9
0.004,179,43,22
0.005,228,49,24
0.006,274,59,27
0.007,328,64,32
0.008,390,69,33
0.009000000000000001,455,77,37
0.01,519,85,39
0.011,584,94,42
0.012,643,105,45
0.013000000000000001,715,116,49
0.014,788,124,53
0.015,868,132,56
0.016,933,143,57
0.017,1000,154,61
0.018000000000000002,1057,165,67
0.019,1126,173,74
0.02,1201,175,74
0.021,1259,182,76
0.022,1320,185,78
0.023,1391,194,82
0.024,1456,199,85
0.025,1504,208,87
0.026000000000000002,1561,212,88
0.027,1616,223,89
0.028,1660,229,91
0.029,1720,232,94
0.03,1771,236,96
0.031,1819,245,97
0.032,1878,253,98
0.033,1937,265,100
0.034,1991,275,104
0.035,2048,285,107
0.036000000000000004,2101,292,109
0.037,2168,300,113
0.038,2219,310,119
0.039,2270,314,122
0.04,2317,321,124
0.041,2372,327,126
0.042,2418,331,129
0.043000000000000003,2457,339,132
0.044,2523,348,138
0.045,2581,352,141
0.046,2622,361,144
0.047,2657,370,146
0.048,2702,384,147
0.049,2754,389,148
0.05,2800,392,148
0.051000000000000004,2800,392,148
0.052000000000000005,2800,392,148
0.053,2800,392,148
0.054,2800,392,148
0.055,2800,392,148
0.056,2800,392,148
0.057,2800,392,148
0.058,2800,392,148
0.059000000000000004,2800,392,148
