qval,nb_prots_ctrl,nb_prots_nlrp3,nb_prots_both
0.0,0,0,0
0.001,1792,141,69
0.002,2257,234,113
0.003,2597,283,144
0.004,2879,335,165
0.005,3100,382,195
0.006,3269,436,230
0.007,3442,483,256
0.008,3575,516,270
0.009000000000000001,3696,552,291
0.01,3818,598,319
0.011,3943,625,338
0.012,4060,656,363
0.013000000000000001,4167,699,382
0.014,4262,759,411
0.015,4360,790,427
0.016,4442,816,438
0.017,4515,849,456
0.018000000000000002,4583,881,468
0.019,4693,914,489
0.02,4771,944,507
0.021,4838,989,535
0.022,4916,1017,547
0.023,4993,1039,568
0.024,5069,1059,583
0.025,5125,1088,597
0.026000000000000002,5187,1115,618
0.027,5251,1156,634
0.028,5313,1175,645
0.029,5372,1201,663
0.03,5417,1225,674
0.031,5465,1249,690
0.032,5524,1275,699
0.033,5572,1305,719
0.034,5641,1346,737
0.035,5687,1380,755
0.036000000000000004,5749,1399,764
0.037,5788,1430,772
0.038,5834,1450,790
0.039,5891,1472,801
0.04,5942,1500,809
0.041,5980,1524,827
0.042,6035,1546,845
0.043000000000000003,6073,1587,865
0.044,6112,1610,876
0.045,6161,1636,890
0.046,6208,1658,904
0.047,6251,1676,913
0.048,6290,1710,929
0.049,6335,1738,941
0.05,6386,1761,954
0.051000000000000004,6386,1761,954
0.052000000000000005,6386,1761,954
0.053,6386,1761,954
0.054,6386,1761,954
0.055,6386,1761,954
0.056,6386,1761,954
0.057,6386,1761,954
0.058,6386,1761,954
0.059000000000000004,6386,1761,954
