qval,nb_prots_ctrl,nb_prots_nlrp3,nb_prots_both
0.0,0,0,0
0.001,1840,107,52
0.002,2372,179,94
0.003,2752,228,130
0.004,3026,271,149
0.005,3272,319,174
0.006,3463,354,197
0.007,3630,399,225
0.008,3774,436,244
0.009000000000000001,3922,474,265
0.01,4035,516,287
0.011,4173,545,302
0.012,4282,576,322
0.013000000000000001,4390,611,341
0.014,4488,656,364
0.015,4599,690,380
0.016,4692,725,397
0.017,4777,750,411
0.018000000000000002,4854,776,429
0.019,4945,813,451
0.02,5003,845,469
0.021,5073,886,490
0.022,5146,917,503
0.023,5225,945,519
0.024,5308,973,526
0.025,5362,996,537
0.026000000000000002,5430,1027,553
0.027,5492,1055,569
0.028,5551,1077,580
0.029,5609,1109,596
0.03,5666,1129,605
0.031,5722,1145,621
0.032,5775,1179,634
0.033,5825,1198,645
0.034,5886,1230,665
0.035,5939,1262,680
0.036000000000000004,5991,1287,695
0.037,6031,1310,701
0.038,6079,1339,718
0.039,6129,1355,731
0.04,6168,1376,739
0.041,6222,1407,764
0.042,6279,1438,775
0.043000000000000003,6330,1476,797
0.044,6368,1506,815
0.045,6421,1537,832
0.046,6475,1557,841
0.047,6514,1583,855
0.048,6562,1601,866
0.049,6612,1630,880
0.05,6658,1655,894
0.051000000000000004,6658,1655,894
0.052000000000000005,6658,1655,894
0.053,6658,1655,894
0.054,6658,1655,894
0.055,6658,1655,894
0.056,6658,1655,894
0.057,6658,1655,894
0.058,6658,1655,894
0.059000000000000004,6658,1655,894
