qval,nb_prots_ctrl,nb_prots_nlrp3,nb_prots_both
0.0,0,0,0
0.001,1831,142,70
0.002,2309,234,114
0.003,2655,284,146
0.004,2933,337,166
0.005,3174,383,196
0.006,3330,441,232
0.007,3502,483,257
0.008,3632,519,271
0.009000000000000001,3768,555,293
0.01,3881,599,320
0.011,4012,629,340
0.012,4138,662,367
0.013000000000000001,4242,704,385
0.014,4335,753,413
0.015,4433,793,429
0.016,4505,820,441
0.017,4591,850,458
0.018000000000000002,4666,887,471
0.019,4772,921,491
0.02,4829,952,510
0.021,4904,994,538
0.022,4989,1020,552
0.023,5057,1043,573
0.024,5135,1063,586
0.025,5192,1093,599
0.026000000000000002,5256,1117,618
0.027,5315,1159,635
0.028,5384,1179,647
0.029,5431,1204,665
0.03,5481,1230,676
0.031,5531,1254,692
0.032,5585,1281,702
0.033,5646,1309,721
0.034,5714,1352,739
0.035,5770,1382,756
0.036000000000000004,5819,1401,764
0.037,5855,1432,772
0.038,5902,1456,793
0.039,5960,1477,804
0.04,6004,1504,811
0.041,6041,1532,831
0.042,6093,1552,847
0.043000000000000003,6141,1595,869
0.044,6185,1618,879
0.045,6235,1645,893
0.046,6279,1665,906
0.047,6323,1685,917
0.048,6361,1714,930
0.049,6401,1740,941
0.05,6453,1761,954
0.051000000000000004,6453,1761,954
0.052000000000000005,6453,1761,954
0.053,6453,1761,954
0.054,6453,1761,954
0.055,6453,1761,954
0.056,6453,1761,954
0.057,6453,1761,954
0.058,6453,1761,954
0.059000000000000004,6453,1761,954
