Period,nb_prots_ctrl,nb_prots_nlrp3
10,2457,672
11,2662,642
12,3786,790
13,5631,962
14,7108,1127
15,8091,1298
16,8580,1637
17,8686,1984
18,8652,2343
19,8595,2615
20,8494,2819
21,8375,2961
22,8266,3053
23,8164,3122
24,8081,3213
25,7983,3241
26,7922,3275
27,7864,3293
28,7815,3324
