pval,nb_prots_ctrl,nb_prots_nlrp3,nb_prots_both
0.0,0,0,0
0.001,2365,322,138
0.002,2984,467,226
0.003,3377,593,297
0.004,3716,698,361
0.005,3950,802,412
0.006,4138,888,450
0.007,4325,984,492
0.008,4502,1045,532
0.009000000000000001,4643,1141,572
0.01,4783,1217,615
0.011,4906,1287,653
0.012,5049,1360,700
0.013000000000000001,5179,1415,732
0.014,5311,1482,777
0.015,5418,1546,819
0.016,5529,1611,854
0.017,5640,1682,891
0.018000000000000002,5752,1738,923
0.019,5838,1781,954
0.02,5930,1826,974
0.021,6012,1890,1003
0.022,6095,1938,1035
0.023,6178,1986,1060
0.024,6260,2039,1101
0.025,6342,2094,1140
0.026000000000000002,6405,2154,1170
0.027,6476,2214,1198
0.028,6553,2258,1235
0.029,6620,2313,1264
0.03,6680,2364,1289
0.031,6759,2411,1316
0.032,6820,2455,1342
0.033,6888,2500,1367
0.034,6951,2546,1388
0.035,7016,2602,1409
0.036000000000000004,7059,2655,1438
0.037,7119,2703,1475
0.038,7209,2761,1502
0.039,7268,2811,1538
0.04,7320,2861,1570
0.041,7389,2905,1593
0.042,7439,2948,1622
0.043000000000000003,7491,3000,1649
0.044,7544,3050,1679
0.045,7592,3086,1699
0.046,7645,3131,1720
0.047,7699,3179,1749
0.048,7758,3213,1776
0.049,7817,3257,1800
0.05,7864,3293,1825
0.051000000000000004,7864,3293,1825
0.052000000000000005,7864,3293,1825
0.053,7864,3293,1825
0.054,7864,3293,1825
0.055,7864,3293,1825
0.056,7864,3293,1825
0.057,7864,3293,1825
0.058,7864,3293,1825
0.059000000000000004,7864,3293,1825
