pval,nb_prots_ctrl,nb_prots_nlrp3,nb_prots_both
0.0,0,0,0
0.001,17,4,0
0.002,54,12,0
0.003,99,21,0
0.004,138,27,0
0.005,203,35,0
0.006,263,46,0
0.007,328,55,0
0.008,389,62,0
0.009000000000000001,441,69,0
0.01,493,84,1
0.011,552,96,2
0.012,612,108,2
0.013000000000000001,672,117,2
0.014,726,130,3
0.015,784,140,3
0.016,847,158,4
0.017,909,167,4
0.018000000000000002,960,172,6
0.019,1014,180,7
0.02,1076,197,7
0.021,1120,205,7
0.022,1163,219,7
0.023,1222,234,9
0.024,1287,256,10
0.025,1340,266,10
0.026000000000000002,1400,280,10
0.027,1452,292,12
0.028,1500,300,12
0.029,1542,315,13
0.03,1596,330,16
0.031,1638,346,16
0.032,1685,360,16
0.033,1739,386,17
0.034,1793,396,18
0.035,1840,421,18
0.036000000000000004,1891,427,20
0.037,1948,455,24
0.038,1982,466,27
0.039,2019,481,28
0.04,2069,500,29
0.041,2118,513,30
0.042,2154,527,34
0.043000000000000003,2188,548,36
0.044,2238,562,38
0.045,2281,601,41
0.046,2317,614,42
0.047,2354,629,43
0.048,2390,640,44
0.049,2423,658,45
0.05,2457,672,47
0.051000000000000004,2457,672,47
0.052000000000000005,2457,672,47
0.053,2457,672,47
0.054,2457,672,47
0.055,2457,672,47
0.056,2457,672,47
0.057,2457,672,47
0.058,2457,672,47
0.059000000000000004,2457,672,47
