pval,nb_prots_ctrl,nb_prots_nlrp3,nb_prots_both
0.0,0,0,0
0.001,2720,219,120
0.002,3356,341,180
0.003,3778,444,242
0.004,4084,532,289
0.005,4389,612,343
0.006,4608,702,386
0.007,4789,769,420
0.008,4948,852,462
0.009000000000000001,5114,922,490
0.01,5257,980,522
0.011,5402,1052,575
0.012,5536,1115,601
0.013000000000000001,5665,1170,635
0.014,5812,1232,674
0.015,5940,1301,702
0.016,6045,1355,736
0.017,6151,1405,760
0.018000000000000002,6240,1460,785
0.019,6326,1516,813
0.02,6411,1565,841
0.021,6518,1623,865
0.022,6590,1675,893
0.023,6670,1727,920
0.024,6738,1773,941
0.025,6821,1830,979
0.026000000000000002,6897,1894,1011
0.027,6978,1943,1037
0.028,7047,1982,1058
0.029,7122,2032,1085
0.03,7190,2093,1119
0.031,7269,2131,1138
0.032,7345,2176,1160
0.033,7417,2204,1184
0.034,7469,2253,1207
0.035,7531,2290,1225
0.036000000000000004,7599,2336,1250
0.037,7672,2380,1268
0.038,7744,2420,1289
0.039,7797,2453,1306
0.04,7874,2510,1335
0.041,7924,2542,1353
0.042,7984,2602,1379
0.043000000000000003,8025,2650,1402
0.044,8086,2705,1432
0.045,8125,2750,1455
0.046,8176,2791,1481
0.047,8226,2840,1505
0.048,8275,2878,1527
0.049,8331,2920,1542
0.05,8375,2961,1558
0.051000000000000004,8375,2961,1558
0.052000000000000005,8375,2961,1558
0.053,8375,2961,1558
0.054,8375,2961,1558
0.055,8375,2961,1558
0.056,8375,2961,1558
0.057,8375,2961,1558
0.058,8375,2961,1558
0.059000000000000004,8375,2961,1558
