test,x,y
SNX2/ctrl,4.0,7.99903651375179
SNX2/ctrl,4.0,7.91633660475416
SNX2/ctrl,4.0,7.91991405242272
SNX2/ctrl,4.0,7.93457267390759
SNX2/ctrl,8.0,7.89716275276659
SNX2/ctrl,8.0,7.87460695649648
SNX2/ctrl,8.0,7.85669534149945
SNX2/ctrl,8.0,7.94833944249855
SNX2/ctrl,12.0,8.01412269572771
SNX2/ctrl,12.0,7.95714625455654
SNX2/ctrl,12.0,7.92515255955912
SNX2/ctrl,12.0,8.01003209163467
SNX2/ctrl,16.0,7.92125427011113
SNX2/ctrl,16.0,7.90407603439806
SNX2/ctrl,16.0,7.78101960244738
SNX2/ctrl,16.0,7.96830707972227
SNX2/ctrl,20.0,8.04497244387688
SNX2/ctrl,20.0,7.91264087693144
SNX2/ctrl,20.0,7.75985990388295
SNX2/ctrl,20.0,7.81770942963391
SNX2/ctrl,24.0,7.86605132602413
SNX2/ctrl,24.0,7.86500958680236
SNX2/ctrl,24.0,7.91678452347648
SNX2/ctrl,24.0,7.61880355120052
SNX2/ctrl,28.0,7.88156848250747
SNX2/ctrl,28.0,7.80443007374071
SNX2/ctrl,28.0,7.92106939113393
SNX2/ctrl,28.0,7.76196433114851
SNX2/ctrl,32.0,7.8776033204198
SNX2/ctrl,32.0,7.9124301703313
SNX2/ctrl,32.0,7.85564594872314
SNX2/ctrl,32.0,7.90613399667927
SNX2/ctrl,36.0,7.88455717843494
SNX2/ctrl,36.0,7.8429235712589
SNX2/ctrl,36.0,7.87637532463711
SNX2/ctrl,36.0,7.92613495970632
SNX2/nlrp3,4.0,7.94536158877569
SNX2/nlrp3,4.0,7.9452832219808
SNX2/nlrp3,4.0,7.82361754878234
SNX2/nlrp3,4.0,7.9031576882245
SNX2/nlrp3,8.0,8.01245927891337
SNX2/nlrp3,8.0,7.88699800623587
SNX2/nlrp3,8.0,7.85252437846064
SNX2/nlrp3,8.0,7.95915364055128
SNX2/nlrp3,12.0,7.97213868028909
SNX2/nlrp3,12.0,7.9247056107959
SNX2/nlrp3,12.0,7.88938730331869
SNX2/nlrp3,12.0,8.00915688687394
SNX2/nlrp3,16.0,7.9224398141581
SNX2/nlrp3,16.0,7.91724876406207
SNX2/nlrp3,16.0,7.81561098319755
SNX2/nlrp3,16.0,7.85896177447908
