test,x,y
DEFB134/nlrp3,16.0,0.0
DEFB134/nlrp3,16.0,0.0
DEFB134/nlrp3,16.0,0.0
DEFB134/nlrp3,20.0,0.0
DEFB134/nlrp3,20.0,0.0
DEFB4A/ctrl,4.0,0.0
DEFB4A/ctrl,4.0,0.0
DEFB4A/ctrl,4.0,0.0
DEFB4A/ctrl,4.0,0.0
DEFB4A/ctrl,8.0,0.0
DEFB4A/ctrl,8.0,0.0
DEFB4A/ctrl,8.0,0.0
DEFB4A/ctrl,8.0,0.0
DEFB4A/ctrl,12.0,0.0
DEFB4A/ctrl,12.0,0.0
DEFB4A/ctrl,12.0,0.0
DEFB4A/ctrl,12.0,0.0
DEFB4A/ctrl,16.0,0.0
DEFB4A/ctrl,16.0,0.0
DEFB4A/ctrl,16.0,0.0
DEFB4A/ctrl,16.0,0.0
DEFB4A/ctrl,20.0,0.0
DEFB4A/ctrl,20.0,0.0
DEFB4A/nlrp3,4.0,0.0
DEFB4A/nlrp3,4.0,0.0
DEFB4A/nlrp3,4.0,0.0
DEFB4A/nlrp3,4.0,0.0
DEFB4A/nlrp3,8.0,0.0
DEFB4A/nlrp3,8.0,0.0
DEFB4A/nlrp3,8.0,0.0
DEFB4A/nlrp3,8.0,0.0
DEFB4A/nlrp3,12.0,0.0
DEFB4A/nlrp3,12.0,0.0
DEFB4A/nlrp3,12.0,0.0
DEFB4A/nlrp3,12.0,0.0
DEFB4A/nlrp3,16.0,0.0
DEFB4A/nlrp3,16.0,0.0
DEFB4A/nlrp3,16.0,0.0
DEFB4A/nlrp3,16.0,2.0
DEFB4A/nlrp3,20.0,0.0
DEFB4A/nlrp3,20.0,0.0
DEGS1/ctrl,4.0,4709.54
DEGS1/ctrl,4.0,5407.797
DEGS1/ctrl,4.0,3975.046
DEGS1/ctrl,4.0,4917.757
DEGS1/ctrl,8.0,4974.929
DEGS1/ctrl,8.0,4658.984
DEGS1/ctrl,8.0,3901.189
DEGS1/ctrl,8.0,3572.438
DEGS1/ctrl,12.0,4833.14
DEGS1/ctrl,12.0,4611.211
DEGS1/ctrl,12.0,3855.69
DEGS1/ctrl,12.0,3617.548
DEGS1/ctrl,16.0,4579.603
DEGS1/ctrl,16.0,4425.234
DEGS1/ctrl,16.0,4476.434
DEGS1/ctrl,16.0,3775.561
DEGS1/ctrl,20.0,2466.566
DEGS1/ctrl,20.0,3180.701
DEGS1/nlrp3,4.0,4522.43
DEGS1/nlrp3,4.0,3855.103
DEGS1/nlrp3,4.0,4708.844
DEGS1/nlrp3,4.0,6247.423
DEGS1/nlrp3,8.0,5592.008
DEGS1/nlrp3,8.0,4773.327
DEGS1/nlrp3,8.0,4205.942
DEGS1/nlrp3,8.0,4893.015
