Period,nb_prots_ctrl,nb_prots_nlrp3
20.5,8436,2895
20.6,8427,2905
20.7,8407,2919
20.8,8399,2929
20.9,8387,2941
21.0,8375,2961
21.1,8370,2975
21.2,8356,2988
21.3,8346,2997
21.4,8338,3005
21.5,8321,3017
23.5,8118,3176
23.6,8103,3181
23.7,8096,3189
23.8,8085,3196
23.9,8084,3209
24.0,8081,3213
24.1,8067,3223
24.2,8063,3225
24.3,8061,3229
24.4,8053,3230
24.5,8041,3232
