Period,nb_prots_ctrl,nb_prots_nlrp3
20.5,7650,2721
20.6,7650,2721
20.7,7650,2721
20.8,7650,2721
20.9,7650,2721
21.0,7650,2721
21.1,7650,2721
21.2,7650,2721
21.3,7650,2721
21.4,7650,2721
21.5,7650,2721
23.5,7669,2739
23.6,7669,2739
23.7,7669,2739
23.8,7669,2739
23.9,7669,2739
24.0,7669,2739
24.1,7669,2739
24.2,7669,2739
24.3,7669,2739
24.4,7669,2739
24.5,7669,2739
