Period,nb_prots_ctrl,nb_prots_nlrp3
20.5,145,116
20.6,147,116
20.7,149,118
20.8,149,119
20.9,151,121
21.0,152,122
21.1,152,122
21.2,152,122
21.3,152,122
21.4,153,123
21.5,153,123
23.5,168,131
23.6,168,131
23.7,168,131
23.8,168,132
23.9,168,133
24.0,168,133
24.1,168,132
24.2,169,132
24.3,168,132
24.4,167,132
24.5,167,132
