pval,nb_prots_ctrl,nb_prots_nlrp3,nb_prots_both
0.0,0,0,0
0.001,2554,143,82
0.002,3282,210,124
0.003,3777,278,157
0.004,4134,332,188
0.005,4456,403,221
0.006,4676,458,252
0.007,4890,509,285
0.008,5062,554,311
0.009000000000000001,5265,612,350
0.01,5430,667,381
0.011,5601,714,411
0.012,5757,763,438
0.013000000000000001,5886,812,461
0.014,6014,850,482
0.015,6130,902,509
0.016,6243,945,529
0.017,6357,982,544
0.018000000000000002,6471,1021,567
0.019,6569,1071,599
0.02,6668,1126,617
0.021,6753,1178,643
0.022,6841,1212,656
0.023,6920,1257,680
0.024,7010,1314,701
0.025,7078,1357,722
0.026000000000000002,7174,1394,737
0.027,7261,1434,764
0.028,7339,1477,789
0.029,7429,1523,809
0.03,7496,1567,835
0.031,7557,1602,854
0.032,7617,1639,875
0.033,7690,1676,897
0.034,7752,1714,918
0.035,7814,1754,936
0.036000000000000004,7864,1792,958
0.037,7919,1832,977
0.038,7981,1871,991
0.039,8038,1908,1009
0.04,8090,1957,1035
0.041,8152,2003,1054
0.042,8207,2031,1071
0.043000000000000003,8273,2072,1092
0.044,8343,2111,1112
0.045,8401,2164,1140
0.046,8450,2193,1155
0.047,8501,2228,1167
0.048,8552,2270,1186
0.049,8607,2307,1215
0.05,8652,2343,1231
0.051000000000000004,8652,2343,1231
0.052000000000000005,8652,2343,1231
0.053,8652,2343,1231
0.054,8652,2343,1231
0.055,8652,2343,1231
0.056,8652,2343,1231
0.057,8652,2343,1231
0.058,8652,2343,1231
0.059000000000000004,8652,2343,1231
