qval,nb_prots_ctrl,nb_prots_nlrp3,nb_prots_both
0.0,0,0,0
0.001,1779,141,69
0.002,2239,234,113
0.003,2574,283,144
0.004,2859,334,164
0.005,3080,382,195
0.006,3240,435,228
0.007,3419,482,256
0.008,3547,516,270
0.009000000000000001,3665,551,290
0.01,3791,595,319
0.011,3916,624,336
0.012,4038,655,363
0.013000000000000001,4136,698,381
0.014,4242,757,410
0.015,4338,789,426
0.016,4412,816,438
0.017,4491,846,455
0.018000000000000002,4561,880,468
0.019,4658,914,488
0.02,4737,942,506
0.021,4813,988,535
0.022,4891,1014,546
0.023,4966,1037,568
0.024,5043,1058,581
0.025,5096,1087,596
0.026000000000000002,5156,1114,616
0.027,5223,1155,634
0.028,5291,1174,645
0.029,5345,1200,663
0.03,5396,1224,673
0.031,5443,1249,690
0.032,5499,1275,699
0.033,5550,1304,718
0.034,5624,1345,736
0.035,5667,1377,754
0.036000000000000004,5725,1397,763
0.037,5763,1428,770
0.038,5810,1450,790
0.039,5864,1471,801
0.04,5908,1499,809
0.041,5957,1524,827
0.042,6008,1544,843
0.043000000000000003,6052,1587,865
0.044,6094,1608,875
0.045,6138,1634,889
0.046,6183,1653,901
0.047,6230,1675,913
0.048,6267,1707,928
0.049,6311,1734,940
0.05,6359,1758,954
0.051000000000000004,6359,1758,954
0.052000000000000005,6359,1758,954
0.053,6359,1758,954
0.054,6359,1758,954
0.055,6359,1758,954
0.056,6359,1758,954
0.057,6359,1758,954
0.058,6359,1758,954
0.059000000000000004,6359,1758,954
