qval,nb_prots_ctrl,nb_prots_nlrp3,nb_prots_both
0.0,0,0,0
0.001,843,38,17
0.002,1291,77,41
0.003,1631,95,54
0.004,1945,113,69
0.005,2184,135,82
0.006,2404,159,95
0.007,2589,175,101
0.008,2746,190,109
0.009000000000000001,2912,216,125
0.01,3077,234,136
0.011,3231,249,146
0.012,3330,265,149
0.013000000000000001,3474,284,155
0.014,3601,305,169
0.015,3729,321,173
0.016,3851,345,186
0.017,3960,361,196
0.018000000000000002,4049,377,205
0.019,4131,399,218
0.02,4208,412,227
0.021,4295,428,238
0.022,4377,446,250
0.023,4464,459,255
0.024,4557,475,264
0.025,4639,496,273
0.026000000000000002,4711,507,284
0.027,4767,523,291
0.028,4849,535,300
0.029,4903,544,307
0.03,4956,558,313
0.031,5011,580,321
0.032,5070,598,332
0.033,5124,613,341
0.034,5189,630,352
0.035,5242,641,359
0.036000000000000004,5298,655,362
0.037,5344,671,368
0.038,5402,692,378
0.039,5467,707,385
0.04,5514,722,397
0.041,5573,741,412
0.042,5636,752,421
0.043000000000000003,5689,774,430
0.044,5737,788,441
0.045,5798,818,458
0.046,5858,842,465
0.047,5905,855,475
0.048,5953,871,482
0.049,6007,883,487
0.05,6058,896,493
0.051000000000000004,6058,896,493
0.052000000000000005,6058,896,493
0.053,6058,896,493
0.054,6058,896,493
0.055,6058,896,493
0.056,6058,896,493
0.057,6058,896,493
0.058,6058,896,493
0.059000000000000004,6058,896,493
