pval,nb_prots_ctrl,nb_prots_nlrp3,nb_prots_both
0.0,0,0,0
0.001,2309,329,142
0.002,2936,481,230
0.003,3339,593,297
0.004,3664,722,363
0.005,3892,815,413
0.006,4091,903,459
0.007,4258,989,497
0.008,4441,1068,531
0.009000000000000001,4587,1153,570
0.01,4709,1224,617
0.011,4864,1300,664
0.012,4992,1371,705
0.013000000000000001,5112,1431,739
0.014,5237,1490,778
0.015,5364,1554,813
0.016,5473,1637,854
0.017,5577,1692,890
0.018000000000000002,5676,1737,928
0.019,5773,1801,961
0.02,5878,1848,994
0.021,5961,1905,1014
0.022,6049,1950,1041
0.023,6136,2006,1083
0.024,6215,2058,1115
0.025,6293,2110,1151
0.026000000000000002,6365,2171,1195
0.027,6435,2228,1221
0.028,6501,2271,1249
0.029,6570,2321,1271
0.03,6651,2378,1305
0.031,6699,2424,1325
0.032,6761,2470,1350
0.033,6822,2509,1369
0.034,6893,2565,1402
0.035,6960,2623,1440
0.036000000000000004,7026,2666,1465
0.037,7088,2712,1490
0.038,7147,2763,1528
0.039,7220,2830,1559
0.04,7268,2880,1583
0.041,7338,2930,1618
0.042,7385,2975,1642
0.043000000000000003,7435,3022,1667
0.044,7477,3058,1695
0.045,7530,3100,1716
0.046,7586,3155,1742
0.047,7629,3194,1767
0.048,7700,3233,1794
0.049,7747,3283,1819
0.05,7815,3324,1846
0.051000000000000004,7815,3324,1846
0.052000000000000005,7815,3324,1846
0.053,7815,3324,1846
0.054,7815,3324,1846
0.055,7815,3324,1846
0.056,7815,3324,1846
0.057,7815,3324,1846
0.058,7815,3324,1846
0.059000000000000004,7815,3324,1846
