qval,nb_prots_ctrl,nb_prots_nlrp3,nb_prots_both
0.0,0,0,0
0.001,1,2,0
0.002,4,2,0
0.003,5,3,0
0.004,11,5,0
0.005,17,9,0
0.006,22,11,0
0.007,28,13,0
0.008,30,15,0
0.009000000000000001,34,15,0
0.01,37,16,0
0.011,43,18,0
0.012,49,19,0
0.013000000000000001,53,21,0
0.014,64,23,0
0.015,74,24,0
0.016,82,27,0
0.017,87,28,0
0.018000000000000002,94,28,0
0.019,97,30,0
0.02,107,32,0
0.021,111,34,0
0.022,115,34,0
0.023,125,39,0
0.024,136,40,1
0.025,139,40,1
0.026000000000000002,146,41,1
0.027,150,44,1
0.028,164,45,1
0.029,179,46,2
0.03,189,48,2
0.031,202,51,2
0.032,215,52,2
0.033,225,52,2
0.034,231,55,2
0.035,244,61,2
0.036000000000000004,261,62,2
0.037,270,64,2
0.038,282,66,2
0.039,292,67,2
0.04,311,69,2
0.041,328,73,2
0.042,336,78,2
0.043000000000000003,344,79,2
0.044,356,81,2
0.045,380,83,2
0.046,393,89,4
0.047,409,97,4
0.048,420,100,4
0.049,434,102,4
0.05,446,106,5
0.051000000000000004,446,106,5
0.052000000000000005,446,106,5
0.053,446,106,5
0.054,446,106,5
0.055,446,106,5
0.056,446,106,5
0.057,446,106,5
0.058,446,106,5
0.059000000000000004,446,106,5
