qval,nb_prots_ctrl,nb_prots_nlrp3,nb_prots_both
0.0,0,0,0
0.001,4,3,0
0.002,14,12,0
0.003,19,18,0
0.004,32,22,0
0.005,42,25,1
0.006,55,26,1
0.007,66,30,2
0.008,78,32,3
0.009000000000000001,89,35,7
0.01,105,39,10
0.011,118,44,11
0.012,135,48,11
0.013000000000000001,152,52,12
0.014,180,57,13
0.015,202,58,14
0.016,219,63,16
0.017,235,72,19
0.018000000000000002,251,76,19
0.019,270,80,20
0.02,297,86,20
0.021,308,92,23
0.022,331,95,23
0.023,369,99,26
0.024,394,102,27
0.025,416,106,27
0.026000000000000002,440,114,29
0.027,464,116,30
0.028,496,121,32
0.029,531,124,33
0.03,563,131,35
0.031,590,137,36
0.032,617,137,36
0.033,642,141,37
0.034,664,150,40
0.035,707,156,41
0.036000000000000004,743,163,43
0.037,769,171,45
0.038,805,172,46
0.039,834,175,48
0.04,875,180,51
0.041,907,188,52
0.042,937,192,53
0.043000000000000003,967,198,53
0.044,994,203,54
0.045,1032,213,57
0.046,1064,220,58
0.047,1105,225,59
0.048,1141,233,60
0.049,1170,236,61
0.05,1206,238,62
0.051000000000000004,1206,238,62
0.052000000000000005,1206,238,62
0.053,1206,238,62
0.054,1206,238,62
0.055,1206,238,62
0.056,1206,238,62
0.057,1206,238,62
0.058,1206,238,62
0.059000000000000004,1206,238,62
