pval,nb_prots_ctrl,nb_prots_nlrp3,nb_prots_both
0.0,0,0,0
0.001,47,25,1
0.002,97,44,1
0.003,154,55,2
0.004,239,61,3
0.005,312,73,6
0.006,383,89,10
0.007,480,99,11
0.008,579,107,12
0.009000000000000001,663,116,15
0.01,758,128,16
0.011,851,136,17
0.012,923,150,17
0.013000000000000001,1035,168,19
0.014,1175,215,21
0.015,1254,231,26
0.016,1340,239,27
0.017,1416,257,29
0.018000000000000002,1509,283,32
0.019,1572,291,36
0.02,1658,303,39
0.021,1741,314,40
0.022,1814,347,42
0.023,1903,363,44
0.024,1990,381,48
0.025,2075,408,52
0.026000000000000002,2181,421,54
0.027,2254,438,56
0.028,2326,459,57
0.029,2384,468,60
0.03,2463,480,63
0.031,2532,495,65
0.032,2617,514,69
0.033,2683,527,71
0.034,2758,536,74
0.035,2813,550,77
0.036000000000000004,2885,563,82
0.037,2952,591,86
0.038,3012,606,89
0.039,3078,620,92
0.04,3133,632,93
0.041,3228,657,98
0.042,3291,670,99
0.043000000000000003,3368,688,103
0.044,3430,699,106
0.045,3489,712,110
0.046,3552,726,114
0.047,3604,741,117
0.048,3653,759,121
0.049,3709,770,126
0.05,3786,790,134
0.051000000000000004,3786,790,134
0.052000000000000005,3786,790,134
0.053,3786,790,134
0.054,3786,790,134
0.055,3786,790,134
0.056,3786,790,134
0.057,3786,790,134
0.058,3786,790,134
0.059000000000000004,3786,790,134
