qval,nb_prots_ctrl,nb_prots_nlrp3,nb_prots_both
0.0,0,0,0
0.001,1879,120,59
0.002,2402,204,106
0.003,2770,251,140
0.004,3031,299,154
0.005,3278,348,184
0.006,3465,391,214
0.007,3650,439,241
0.008,3783,473,256
0.009000000000000001,3921,515,284
0.01,4047,557,306
0.011,4165,590,327
0.012,4280,621,349
0.013000000000000001,4388,662,364
0.014,4478,711,385
0.015,4578,741,404
0.016,4659,768,419
0.017,4745,794,428
0.018000000000000002,4817,829,444
0.019,4903,868,464
0.02,4968,911,484
0.021,5046,944,504
0.022,5124,976,517
0.023,5204,998,532
0.024,5285,1018,545
0.025,5348,1048,569
0.026000000000000002,5411,1075,587
0.027,5467,1107,602
0.028,5534,1129,615
0.029,5589,1152,627
0.03,5634,1182,637
0.031,5687,1203,654
0.032,5747,1234,668
0.033,5816,1257,683
0.034,5878,1291,703
0.035,5939,1330,720
0.036000000000000004,5994,1356,731
0.037,6039,1382,743
0.038,6079,1403,762
0.039,6139,1428,776
0.04,6180,1452,786
0.041,6214,1479,802
0.042,6255,1507,815
0.043000000000000003,6304,1544,836
0.044,6345,1560,847
0.045,6392,1593,864
0.046,6444,1612,872
0.047,6491,1638,887
0.048,6537,1658,899
0.049,6593,1683,914
0.05,6647,1716,925
0.051000000000000004,6647,1716,925
0.052000000000000005,6647,1716,925
0.053,6647,1716,925
0.054,6647,1716,925
0.055,6647,1716,925
0.056,6647,1716,925
0.057,6647,1716,925
0.058,6647,1716,925
0.059000000000000004,6647,1716,925
