pval,nb_prots_ctrl,nb_prots_nlrp3,nb_prots_both
0.0,0,0,0
0.001,2729,167,95
0.002,3362,258,148
0.003,3838,339,192
0.004,4204,406,236
0.005,4480,481,272
0.006,4724,545,310
0.007,4952,610,351
0.008,5112,678,382
0.009000000000000001,5265,729,408
0.01,5424,787,441
0.011,5579,849,483
0.012,5725,906,511
0.013000000000000001,5849,957,538
0.014,5957,1004,569
0.015,6083,1059,590
0.016,6190,1113,618
0.017,6299,1168,641
0.018000000000000002,6408,1214,660
0.019,6536,1271,674
0.02,6649,1316,699
0.021,6725,1360,722
0.022,6803,1398,747
0.023,6882,1446,773
0.024,6957,1496,797
0.025,7040,1550,829
0.026000000000000002,7100,1593,853
0.027,7168,1635,880
0.028,7248,1681,900
0.029,7325,1727,917
0.03,7402,1780,945
0.031,7474,1816,969
0.032,7546,1868,1000
0.033,7614,1920,1017
0.034,7673,1953,1038
0.035,7740,1995,1054
0.036000000000000004,7801,2037,1080
0.037,7841,2072,1101
0.038,7900,2122,1126
0.039,7959,2159,1153
0.04,8013,2197,1171
0.041,8069,2229,1191
0.042,8124,2279,1215
0.043000000000000003,8182,2322,1239
0.044,8241,2360,1256
0.045,8307,2392,1279
0.046,8369,2431,1294
0.047,8422,2470,1316
0.048,8489,2517,1337
0.049,8533,2562,1357
0.05,8595,2615,1388
0.051000000000000004,8595,2615,1388
0.052000000000000005,8595,2615,1388
0.053,8595,2615,1388
0.054,8595,2615,1388
0.055,8595,2615,1388
0.056,8595,2615,1388
0.057,8595,2615,1388
0.058,8595,2615,1388
0.059000000000000004,8595,2615,1388
