pVal,phase,peak.shape,period,names
1.65334150217718e-5,16,16,24,AC005479.1_ctrl
0.0011030646031622714,20,12,24,AC005498.3_ctrl
4.8707481242955933e-4,24,4,24,AC005520.4_ctrl
0.01343726789545509,20,8,24,AC005618.1_ctrl
0.012899777179636885,24,8,24,AC005618.4_ctrl
8.33402027698477e-6,20,12,24,AC005670.3_ctrl
0.038901615244034314,4,20,24,AC005674.2_ctrl
6.2932787902247555e-05,20,8,24,AC005699.1_ctrl
0.009644501852257275,20,12,24,AC005821.1_ctrl
0.049510093869917546,16,16,24,AC005833.1_ctrl
1.578189615714581e-5,20,8,24,AC005837.1_ctrl
0.0028082361150058733,24,4,24,AC005863.1_ctrl
0.008427922039328085,16,20,24,AC005943.1_ctrl
0.01343726789545509,24,8,24,AC006059.1_ctrl
3.365641083845374e-5,20,16,24,AC006064.2_ctrl
0.014772468660111953,24,12,24,AC006077.2_ctrl
0.0012985188649991056,8,16,24,AC006111.2_ctrl
0.005467413567845562,20,8,24,AC006116.9_ctrl
9.167422304683247e-6,16,12,24,AC006213.1_ctrl
5.678042999262057e-4,16,12,24,AC006213.2_ctrl
0.03739775365229628,20,12,24,AC006213.6_ctrl
6.726242925696399e-4,16,16,24,AC006230.1_ctrl
0.003338908300946031,20,12,24,AC006252.1_ctrl
0.0016246279372694541,20,12,24,AC006333.1_ctrl
5.082519781873662e-4,24,4,24,AC006449.7_ctrl
0.009157291679366979,16,12,24,AC006452.2_ctrl
0.042753812399406836,20,16,24,AC006460.2_ctrl
0.005695222466505794,20,8,24,AC006486.2_ctrl
5.367447458058204e-7,20,8,24,AC006504.5_ctrl
1.8787971615649775e-5,20,8,24,AC006504.7_ctrl
0.03791116567599287,20,12,24,AC006511.4_ctrl
0.013803843271283481,12,12,24,AC007038.1_ctrl
2.2856887037806848e-4,20,16,24,AC007066.2_ctrl
0.0012990626499057181,24,12,24,AC007114.1_ctrl
1.578189615714581e-5,20,8,24,AC007207.1_ctrl
7.046540207872418e-4,16,16,24,AC007262.2_ctrl
0.03190853230584182,24,8,24,AC007342.5_ctrl
6.892638675008065e-5,24,8,24,AC007383.2_ctrl
6.236317687777211e-5,24,4,24,AC007405.4_ctrl
8.135303372605692e-6,24,8,24,AC007773.1_ctrl
0.019368878278739822,16,20,24,AC007969.1_ctrl
0.013388309348203195,4,20,24,AC008012.1_ctrl
2.1817937626997447e-4,20,16,24,AC008014.1_ctrl
0.02790275681244404,16,16,24,AC008035.1_ctrl
0.019368878278739822,20,20,24,AC008040.1_ctrl
0.0016570838638338165,20,12,24,AC008083.2_ctrl
0.0012444139122908095,20,16,24,AC008105.2_ctrl
7.046540207872418e-4,20,16,24,AC008124.1_ctrl
0.0025115381836506123,24,8,24,AC008267.5_ctrl
3.716301707479059e-6,20,12,24,AC008393.1_ctrl
0.010256166680891016,4,12,24,AC008406.3_ctrl
0.0013526238177074016,20,16,24,AC008438.1_ctrl
1.578189615714581e-5,20,16,24,AC008443.1_ctrl
0.03457921355025272,24,8,24,AC008443.5_ctrl
0.024738807021350038,4,8,24,AC008555.4_ctrl
2.8390214996310286e-4,24,8,24,AC008608.2_ctrl
0.03290096224313229,20,12,24,AC008610.1_ctrl
2.3294882333587622e-4,20,8,24,AC008622.2_ctrl
0.0011030646031622714,20,12,24,AC008703.1_ctrl
0.04104365990343057,4,8,24,AC008750.8_ctrl
0.004038379310511374,20,8,24,AC008758.4_ctrl
0.03655662471459144,16,12,24,AC008760.1_ctrl
8.465997984344631e-7,24,4,24,AC008760.2_ctrl
2.3895836448616252e-4,20,16,24,AC008764.6_ctrl
3.212657398216039e-5,20,8,24,AC008771.1_ctrl
0.00440551681272374,24,4,24,AC008780.2_ctrl
0.009535859631798971,24,8,24,AC008897.3_ctrl
1.549189240695524e-6,20,8,24,AC008966.1_ctrl
0.0016705985901750327,16,12,24,AC008966.3_ctrl
1.9415023169504187e-4,20,8,24,AC008969.1_ctrl
0.030802123714755547,16,12,24,AC008972.2_ctrl
0.005695222466505794,20,16,24,AC009005.1_ctrl
3.1258844631159187e-6,24,4,24,AC009061.2_ctrl
0.005695222466505794,24,8,24,AC009065.2_ctrl
0.022759702459642032,12,16,24,AC009070.1_ctrl
0.02300917026717133,4,12,24,AC009088.1_ctrl
2.3799088246294999e-7,20,8,24,AC009113.1_ctrl
0.042112275687061655,24,4,24,AC009118.2_ctrl
0.019666753703727148,20,4,24,AC009120.2_ctrl
0.04617411739135939,20,8,24,AC009121.4_ctrl
0.03545392478426869,24,8,24,AC009123.1_ctrl
5.294291439451732e-4,24,4,24,AC009126.1_ctrl
0.01602760870812698,12,16,24,AC009133.6_ctrl
0.020896420679890764,20,8,24,AC009245.1_ctrl
0.0061646846325969585,8,12,24,AC009268.2_ctrl
0.0025115381836506123,20,8,24,AC009283.1_ctrl
0.002391993435932433,24,12,24,AC009403.1_ctrl
0.026238846127384356,20,12,24,AC009412.1_ctrl
3.212657398216039e-5,20,8,24,AC009506.2_ctrl
